,debtor_zip,debtor_rt,debtor_rw,debtor_birth_place,debtor_age,debtor_occupation,debtor_marital_status,debtor_gender,debtor_education_level,employment_type,number_of_dependents,net_income,payment_date,loan_amount,tenor,amount_of_late,late_payment_amount,credit_score,arrears_amounts,aset,aging,credit_risk,loss_reverse
15,89737,20,19,"Sulawesi Tengah, 10-09-1987",36,Pegawai Negeri,Cerai mati,perempuan,S1,Retired,2,18000000,1,78166667,19,32,3,668,0,8500000,DPK,Tertagih dengan resiko rendah,0
16,3928,4,10,"Gorontalo, 27-11-1968",55,Profesional,Cerai hidup,laki-laki,S2,Full-time,4,19000000,9,59500000,8,109,6,290,3,3500000,Kurang lancar,Tertagih dengan resiko tinggi,44625000
17,4570,7,16,"DI Yogyakarta, 14-03-1964",59,Pegawai Swasta,Cerai hidup,laki-laki,D1,Retired,5,10500000,5,60333333,8,152,8,261,1,4000000,Diragukan,Tertagih dengan resiko rendah,15083333
18,94704,5,6,"Sulawesi Tengah, 10-04-1979",44,Pegawai Negeri,Cerai hidup,laki-laki,D2,Retired,4,10500000,3,61166667,10,77,8,371,1,5500000,DPK,Tertagih dengan resiko rendah,15291667
19,24237,13,9,"Jambi, 05-04-1995",28,Pengusaha,Cerai mati,perempuan,D1,Retired,5,18500000,1,77666667,6,98,6,183,2,10500000,Kurang lancar,Tertagih dengan resiko tinggi,38833333
20,40335,8,14,"Kalimantan Barat, 13-12-1966",57,Profesional,Cerai hidup,perempuan,S2,Retired,4,14000000,9,63000000,10,27,2,424,1,4500000,DPK,Tertagih dengan resiko rendah,15750000
21,94584,14,14,"Jawa Timur, 22-05-1990",33,Pengusaha,Cerai hidup,perempuan,D2,Retired,5,10500000,8,65166667,6,44,2,380,1,8000000,DPK,Tertagih dengan resiko rendah,16291667
22,73692,20,13,"Jambi, 04-02-1964",59,Pengusaha,Belum menikah,laki-laki,S1,Retired,2,13000000,7,55333333,19,76,4,316,1,4500000,DPK,Tertagih dengan resiko rendah,13833333
23,9462,12,11,"Kepulauan Riau, 19-05-1976",47,Pegawai Swasta,Cerai mati,laki-laki,S2,Retired,4,13000000,3,49000000,19,39,2,488,1,9000000,DPK,Tertagih dengan resiko rendah,12250000
24,17381,3,9,"Sumatera Selatan, 27-10-1979",44,Pegawai Negeri,Belum menikah,laki-laki,S2,Retired,3,23000000,6,55666667,7,140,9,156,2,6000000,Diragukan,Tertagih dengan resiko tinggi,27833333
25,96498,17,20,"Jawa Timur, 04-07-1969",54,Buruh,Cerai mati,perempuan,S2,Retired,3,13000000,6,59666667,17,0,0,474,0,4500000,Lancar,Tertagih dengan resiko rendah,0
26,21852,6,2,"DKI Jakarta, 15-06-1988",35,Buruh,Cerai hidup,perempuan,S1,Retired,4,18000000,2,69333333,11,78,3,104,2,9000000,DPK,Tertagih dengan resiko tinggi,34666667
27,76602,7,11,"Gorontalo, 06-10-1984",39,Pengusaha,Menikah,perempuan,SMP,Internship,6,2600000,7,21166667,2,56,6,8,1,4000000,DPK,Tidak tertagih dengan resiko tinggi,5291667
28,59829,17,17,"Sumatera Utara, 07-10-1999",24,Pegawai Swasta,Cerai mati,perempuan,S1,Retired,3,13000000,5,58666667,11,59,3,410,2,6000000,DPK,Tertagih dengan resiko tinggi,29333333
29,5216,1,2,"Kalimantan Tengah, 29-03-1978",45,Profesional,Cerai hidup,laki-laki,D1,Contract,4,5500000,5,61166667,3,59,4,365,1,6500000,DPK,Tertagih dengan resiko rendah,15291667
30,30516,1,10,"Nusa Tenggara Timur, 24-01-1983",40,Profesional,Cerai hidup,laki-laki,D3,Retired,4,10500000,3,61833333,4,34,3,346,1,6000000,DPK,Tertagih dengan resiko rendah,15458333
31,53172,15,15,"Papua Barat, 28-11-1975",48,Pegawai Swasta,Belum menikah,laki-laki,S1,Retired,3,18000000,4,50333333,19,81,5,573,2,8000000,DPK,Tertagih dengan resiko rendah,25166667
32,65373,19,12,"Maluku Utara, 12-01-1968",55,Profesional,Cerai hidup,laki-laki,D1,Full-time,4,25500000,4,140000000,17,140,8,355,2,13000000,Diragukan,Tidak tertagih dengan resiko rendah,70000000
33,18359,5,19,"Banten, 01-01-1963",60,Profesional,Menikah,perempuan,D3,Retired,3,10500000,2,63000000,1,40,2,325,1,5000000,DPK,Tertagih dengan resiko rendah,15750000
34,56465,1,19,"Papua, 17-08-1973",50,Buruh,Belum menikah,laki-laki,D3,Retired,3,15500000,4,43500000,25,0,0,656,0,14500000,Lancar,Tertagih dengan resiko rendah,0
35,82560,9,13,"Bengkulu, 05-02-1964",59,Buruh,Cerai mati,laki-laki,S1,Retired,2,13000000,9,55166667,8,27,2,326,1,8500000,DPK,Tertagih dengan resiko rendah,13791667
36,13831,17,8,"Jawa Tengah, 08-10-1997",26,Buruh,Menikah,perempuan,D3,Retired,3,10500000,8,59000000,11,95,6,288,1,4500000,Kurang lancar,Tertagih dengan resiko rendah,14750000
37,90147,16,15,"Kalimantan Barat, 18-03-1977",46,Pengusaha,Cerai hidup,perempuan,S1,Self-employed,2,29000000,3,137166667,32,59,3,229,2,8000000,DPK,Tidak tertagih dengan resiko rendah,68583333
38,19472,11,1,"Papua, 30-05-1996",27,Pengusaha,Belum menikah,perempuan,D3,Retired,4,12500000,5,60333333,12,19,1,369,1,6000000,DPK,Tertagih dengan resiko rendah,15083333
39,78283,17,8,"Sulawesi Barat, 07-06-1991",32,Pengusaha,Menikah,perempuan,SMA,Contract,2,7700000,3,59500000,12,74,4,450,2,5500000,DPK,Tertagih dengan resiko tinggi,29750000
40,60077,20,6,"Kalimantan Tengah, 30-06-1989",34,Pengusaha,Belum menikah,laki-laki,S2,Retired,2,13000000,7,63833333,2,16,3,372,0,5500000,DPK,Tertagih dengan resiko rendah,0
41,5689,13,12,"Sulawesi Tenggara, 22-09-1996",27,Pegawai Negeri,Belum menikah,perempuan,SD,Not-employed,2,2600000,4,20166667,2,150,11,17,3,15000000,Diragukan,Tidak tertagih dengan resiko tinggi,15125000
42,8164,15,19,"Nusa Tenggara Barat, 01-06-1994",29,Profesional,Cerai mati,laki-laki,D3,Full-time,4,17500000,9,64333333,7,186,8,205,4,7000000,Macet,Tertagih dengan resiko tinggi,64333333
43,27778,4,11,"Kalimantan Selatan, 10-08-1989",34,Pegawai Swasta,Cerai mati,perempuan,D1,Full-time,3,17500000,9,88500000,18,15,1,619,1,15000000,DPK,Tertagih dengan resiko rendah,22125000
44,30138,12,10,"Sulawesi Tenggara, 21-06-1965",58,Buruh,Belum menikah,perempuan,S1,Retired,2,18000000,2,80333333,19,12,2,433,0,8000000,DPK,Tertagih dengan resiko rendah,0
45,40722,8,1,"Jambi, 03-05-1974",49,Profesional,Belum menikah,perempuan,D3,Retired,4,10500000,8,59666667,7,66,4,356,1,8500000,DPK,Tertagih dengan resiko rendah,14916667
46,20196,11,20,"Sumatera Selatan, 27-02-1986",37,Buruh,Menikah,perempuan,D3,Retired,5,15500000,4,47166667,5,144,9,154,2,12000000,Diragukan,Tertagih dengan resiko tinggi,23583333
47,8669,11,12,"Papua, 21-03-1962",61,Profesional,Menikah,laki-laki,D3,Retired,3,15500000,7,91833333,12,118,8,117,1,6500000,Kurang lancar,Tertagih dengan resiko tinggi,22958333
48,95603,14,3,"Jambi, 06-09-1967",56,Profesional,Menikah,perempuan,SMA,Contract,5,8700000,2,55333333,15,23,1,266,1,6500000,DPK,Tertagih dengan resiko rendah,13833333
49,21935,10,10,"DI Yogyakarta, 16-04-1992",31,Pegawai Negeri,Cerai hidup,perempuan,S2,Retired,4,13000000,2,55833333,11,0,0,367,0,8500000,Lancar,Tertagih dengan resiko rendah,0
50,92214,11,8,"Sulawesi Barat, 09-07-1988",35,Buruh,Menikah,laki-laki,S1,Retired,2,13000000,2,56500000,6,49,3,306,1,5500000,DPK,Tertagih dengan resiko rendah,14125000
51,58925,16,6,"Kalimantan Barat, 30-07-1969",54,Pegawai Swasta,Menikah,perempuan,SMA,Contract,5,9700000,1,68500000,13,8,2,449,0,6000000,DPK,Tertagih dengan resiko rendah,0
52,53252,17,15,"Kalimantan Tengah, 11-08-1997",26,Pegawai Swasta,Belum menikah,perempuan,D2,Retired,3,15500000,9,55166667,21,29,2,559,1,19500000,DPK,Tertagih dengan resiko rendah,13791667
53,25444,15,13,"Aceh, 03-05-1980",43,Pegawai Negeri,Cerai hidup,perempuan,SMA,Contract,1,13700000,4,51666667,15,28,2,340,1,6000000,DPK,Tertagih dengan resiko rendah,12916667
54,13288,6,11,"Papua Barat, 17-06-1996",27,Pengusaha,Cerai mati,laki-laki,D1,Retired,5,10500000,5,64166667,1,51,2,348,1,9000000,DPK,Tertagih dengan resiko rendah,16041667
55,54833,11,7,"Kalimantan Utara, 05-03-1970",53,Pegawai Swasta,Menikah,laki-laki,SMA,Contract,1,13700000,8,59333333,17,24,2,477,1,8000000,DPK,Tertagih dengan resiko rendah,14833333
56,97413,13,12,"Kepulauan Bangka Belitung, 17-11-1992",31,Pengusaha,Belum menikah,perempuan,D3,Retired,3,15500000,3,66333333,2,91,5,156,3,8500000,Kurang lancar,Tertagih dengan resiko tinggi,49750000
57,75263,17,7,"Jawa Timur, 08-06-1994",29,Buruh,Belum menikah,laki-laki,D1,Retired,3,10500000,2,56166667,1,104,7,376,3,8000000,Kurang lancar,Tertagih dengan resiko tinggi,42125000
58,91291,6,17,"Gorontalo, 19-09-1966",57,Pengusaha,Cerai hidup,perempuan,S2,Retired,4,18000000,3,49166667,14,133,8,104,4,8000000,Diragukan,Tertagih dengan resiko tinggi,49166667
59,87368,13,7,"Sulawesi Tengah, 22-08-1990",33,Pengusaha,Cerai mati,laki-laki,S1,Self-employed,2,28000000,3,135333333,31,9,2,649,0,17500000,DPK,Tidak tertagih dengan resiko rendah,0
60,64970,7,13,"Aceh, 22-07-1996",27,Pengusaha,Cerai hidup,perempuan,S1,Retired,2,13000000,2,64500000,9,55,5,424,2,5000000,DPK,Tertagih dengan resiko tinggi,32250000
61,73252,12,18,"Sumatera Barat, 21-10-1976",47,Profesional,Belum menikah,laki-laki,D1,Retired,5,10500000,6,56333333,16,20,1,314,1,8000000,DPK,Tertagih dengan resiko rendah,14083333
62,41144,10,3,"Kepulauan Riau, 16-11-1969",54,Pegawai Swasta,Cerai mati,perempuan,SMA,Contract,1,9700000,6,56833333,10,17,1,433,1,7000000,DPK,Tertagih dengan resiko rendah,14208333
63,82534,17,17,"Bengkulu, 14-07-1981",42,Buruh,Cerai hidup,perempuan,S2,Full-time,3,19000000,3,54166667,25,33,2,695,1,11500000,DPK,Tertagih dengan resiko rendah,13541667
64,9295,14,10,"Sulawesi Selatan, 17-09-1983",40,Profesional,Belum menikah,laki-laki,D1,Retired,5,15500000,2,68833333,9,126,6,151,4,13500000,Diragukan,Tertagih dengan resiko tinggi,68833333
65,55404,11,1,"Jawa Tengah, 22-04-1965",58,Pegawai Swasta,Cerai mati,laki-laki,SMA,Contract,1,10700000,8,58166667,16,7,1,345,0,6000000,DPK,Tertagih dengan resiko rendah,0
66,83545,14,18,"Maluku, 03-09-1979",44,Pegawai Swasta,Cerai mati,laki-laki,S2,Retired,4,22000000,7,68500000,5,144,8,210,1,6000000,Diragukan,Tertagih dengan resiko tinggi,17125000
67,45959,1,3,"Sumatera Barat, 13-03-1960",63,Pegawai Negeri,Belum menikah,perempuan,D3,Retired,4,15500000,8,61500000,11,203,10,298,6,4500000,Macet,Tertagih dengan resiko tinggi,92250000
68,59893,3,2,"Kalimantan Timur, 28-11-1998",25,Pengusaha,Cerai mati,laki-laki,S1,Full-time,4,20000000,6,65666667,13,128,8,229,2,9500000,Diragukan,Tertagih dengan resiko tinggi,32833333
69,18086,3,3,"Jawa Barat, 20-03-1999",24,Pegawai Negeri,Cerai mati,perempuan,S2,Full-time,2,28000000,1,135000000,29,34,2,486,1,10500000,DPK,Tidak tertagih dengan resiko rendah,33750000
70,8729,9,18,"Papua, 23-04-1997",26,Pengusaha,Cerai hidup,perempuan,SMA,Contract,6,13700000,3,60000000,15,107,4,444,1,7000000,Kurang lancar,Tertagih dengan resiko rendah,15000000
71,60072,5,20,"Jawa Timur, 11-05-2000",23,Pengusaha,Cerai hidup,laki-laki,D3,Retired,4,10500000,3,59166667,16,97,4,372,1,5000000,Kurang lancar,Tertagih dengan resiko rendah,14791667
72,96758,4,13,"Bengkulu, 24-07-1988",35,Pegawai Swasta,Menikah,laki-laki,SMP,Part-time,2,200000,2,23333333,2,160,9,64,5,9000000,Diragukan,Tidak tertagih dengan resiko tinggi,29166667
73,2074,17,13,"Maluku, 18-09-1972",51,Pegawai Negeri,Belum menikah,laki-laki,D2,Full-time,4,22500000,9,67333333,8,93,7,188,1,6500000,Kurang lancar,Tertagih dengan resiko rendah,16833333
74,86569,16,20,"Bali, 27-01-1981",42,Buruh,Cerai hidup,perempuan,S1,Full-time,4,24000000,3,73833333,10,83,6,242,1,5000000,DPK,Tertagih dengan resiko rendah,18458333
75,57039,6,15,"Jawa Barat, 10-02-1995",28,Buruh,Menikah,laki-laki,S1,Retired,2,18000000,2,65166667,16,3,1,691,0,13000000,DPK,Tertagih dengan resiko rendah,0
76,31485,17,19,"Bengkulu, 01-01-1964",59,Pengusaha,Cerai hidup,perempuan,D1,Full-time,4,17500000,9,55666667,14,103,6,299,2,4500000,Kurang lancar,Tertagih dengan resiko tinggi,27833333
77,44850,14,15,"Jambi, 05-07-1972",51,Profesional,Cerai hidup,laki-laki,SMP,Internship,5,200000,6,22500000,1,93,5,37,2,17500000,Kurang lancar,Tidak tertagih dengan resiko tinggi,11250000
78,57012,4,11,"Sulawesi Selatan, 30-04-1974",49,Buruh,Cerai hidup,perempuan,D1,Full-time,3,16500000,7,64000000,17,38,2,657,1,13500000,DPK,Tertagih dengan resiko rendah,16000000
79,73824,18,3,"Jawa Barat, 28-02-1984",39,Pegawai Swasta,Cerai mati,laki-laki,S1,Full-time,2,21000000,6,64666667,19,22,3,440,0,9500000,DPK,Tertagih dengan resiko rendah,0
80,42149,20,16,"Maluku, 25-02-1993",30,Pegawai Negeri,Cerai hidup,perempuan,D1,Full-time,4,25500000,2,140166667,3,134,9,158,2,4000000,Diragukan,Tidak tertagih dengan resiko rendah,70083333
81,26938,5,13,"Kalimantan Utara, 17-12-1979",44,Pengusaha,Cerai hidup,perempuan,D3,Retired,4,15500000,1,58833333,11,163,8,253,3,8000000,Diragukan,Tertagih dengan resiko tinggi,44125000
82,63719,4,1,"Kalimantan Timur, 17-08-1962",61,Pegawai Swasta,Belum menikah,perempuan,S1,Full-time,3,24000000,6,60333333,21,117,6,545,2,11000000,Kurang lancar,Tertagih dengan resiko tinggi,30166667
83,74381,5,20,"Jawa Timur, 30-11-1967",56,Pegawai Swasta,Belum menikah,laki-laki,D3,Full-time,3,22500000,9,45833333,19,0,0,481,0,7000000,Lancar,Tertagih dengan resiko rendah,0
84,67771,20,1,"DKI Jakarta, 06-12-1985",38,Buruh,Cerai mati,laki-laki,SMA,Contract,6,14700000,9,60166667,13,21,1,268,1,13000000,DPK,Tertagih dengan resiko rendah,15041667
85,40202,18,2,"Nusa Tenggara Barat, 19-10-1993",30,Buruh,Cerai mati,laki-laki,D3,Retired,5,10500000,8,59666667,4,14,1,244,0,9000000,DPK,Tertagih dengan resiko rendah,0
86,70995,2,13,"Banten, 17-10-1968",55,Pengusaha,Cerai hidup,perempuan,D3,Retired,4,10500000,2,58333333,6,12,1,357,0,5500000,DPK,Tertagih dengan resiko rendah,0
87,16297,7,4,"Papua Barat, 11-01-1995",28,Pegawai Swasta,Belum menikah,laki-laki,S3,Retired,4,18000000,5,64000000,12,83,6,245,2,8500000,DPK,Tertagih dengan resiko tinggi,32000000
88,25779,4,4,"DI Yogyakarta, 21-05-1968",55,Pegawai Negeri,Cerai hidup,laki-laki,D1,Self-employed,5,25500000,5,138500000,16,157,10,221,2,7000000,Diragukan,Tidak tertagih dengan resiko rendah,69250000
89,53420,14,15,"Kepulauan Bangka Belitung, 31-01-1998",25,Buruh,Cerai hidup,perempuan,D1,Retired,5,19500000,5,64000000,14,94,5,215,2,8500000,Kurang lancar,Tertagih dengan resiko tinggi,32000000
90,65017,17,5,"Kalimantan Selatan, 15-01-1982",41,Pegawai Swasta,Belum menikah,laki-laki,D3,Retired,4,10500000,2,60000000,8,4,1,253,0,6000000,DPK,Tertagih dengan resiko rendah,0
91,62373,7,16,"Kalimantan Timur, 22-02-1972",51,Profesional,Cerai hidup,perempuan,S1,Full-time,3,19000000,6,66333333,23,86,5,552,2,9500000,DPK,Tertagih dengan resiko tinggi,33166667
92,28172,7,16,"Kalimantan Utara, 23-08-1975",48,Profesional,Cerai mati,laki-laki,D3,Retired,5,10500000,3,64166667,11,5,1,396,0,10000000,DPK,Tertagih dengan resiko rendah,0
93,72904,16,5,"Kalimantan Tengah, 23-11-1993",30,Profesional,Cerai hidup,laki-laki,D1,Contract,4,10500000,2,58833333,14,47,2,404,1,9000000,DPK,Tertagih dengan resiko rendah,14708333
94,52559,4,14,"Sumatera Barat, 27-12-1986",37,Pegawai Swasta,Menikah,laki-laki,SMA,Contract,1,12700000,6,59666667,14,130,7,457,4,5500000,Diragukan,Tertagih dengan resiko tinggi,59666667
95,83490,13,15,"Sulawesi Tenggara, 17-08-1994",29,Pegawai Negeri,Cerai hidup,laki-laki,S1,Retired,4,13000000,3,59833333,19,33,2,361,1,9000000,DPK,Tertagih dengan resiko rendah,14958333
96,7060,17,17,"Banten, 10-12-1967",56,Pengusaha,Cerai mati,perempuan,D3,Full-time,4,22500000,2,67000000,14,71,6,273,1,6000000,DPK,Tertagih dengan resiko rendah,16750000
97,65697,19,17,"Gorontalo, 20-08-1999",24,Profesional,Cerai mati,perempuan,SMA,Contract,5,9700000,3,60666667,11,0,0,318,0,4000000,Lancar,Tertagih dengan resiko rendah,0
98,44438,11,2,"DI Yogyakarta, 23-11-1974",49,Pegawai Swasta,Belum menikah,perempuan,S2,Retired,4,18000000,8,58333333,1,137,6,163,2,5500000,Diragukan,Tertagih dengan resiko tinggi,29166667
99,13340,10,19,"Kepulauan Riau, 06-12-1967",56,Pegawai Negeri,Menikah,perempuan,SMA,Contract,1,14700000,2,53666667,11,45,3,348,1,7500000,DPK,Tertagih dengan resiko rendah,13416667
100,76565,17,8,"Maluku Utara, 17-01-1976",47,Buruh,Menikah,perempuan,SMA,Not-employed,1,4700000,4,21666667,1,130,9,65,2,9000000,Diragukan,Tidak tertagih dengan resiko tinggi,10833333
101,56312,19,11,"DKI Jakarta, 29-03-1968",55,Pengusaha,Cerai hidup,laki-laki,S3,Retired,3,23000000,7,78333333,22,83,4,614,2,5500000,DPK,Tertagih dengan resiko tinggi,39166667
102,59159,14,3,"Sulawesi Barat, 14-07-1965",58,Pegawai Swasta,Cerai mati,laki-laki,D1,Full-time,3,17500000,2,47500000,19,17,1,515,1,8500000,DPK,Tertagih dengan resiko rendah,11875000
103,35118,20,4,"DI Yogyakarta, 22-01-1968",55,Buruh,Cerai hidup,perempuan,S1,Retired,4,13000000,7,58500000,4,46,2,471,1,8500000,DPK,Tertagih dengan resiko rendah,14625000
104,25389,5,6,"Riau, 13-11-1992",31,Profesional,Cerai hidup,laki-laki,S1,Retired,4,13000000,2,54500000,2,109,6,485,2,6000000,Kurang lancar,Tertagih dengan resiko tinggi,27250000
105,60747,2,14,"Nusa Tenggara Timur, 07-08-1999",24,Pengusaha,Belum menikah,laki-laki,S2,Retired,3,18000000,8,53000000,16,59,3,670,1,8000000,DPK,Tertagih dengan resiko rendah,13250000
106,94841,14,12,"Sulawesi Tengah, 02-07-1987",36,Buruh,Belum menikah,laki-laki,S1,Retired,4,18000000,1,74333333,5,88,7,196,1,12500000,DPK,Tertagih dengan resiko rendah,18583333
107,89325,19,7,"Kalimantan Selatan, 07-06-1973",50,Pegawai Swasta,Belum menikah,laki-laki,SMA,Contract,5,6700000,1,57666667,15,38,4,275,1,10000000,DPK,Tertagih dengan resiko rendah,14416667
108,14887,7,12,"Sumatera Selatan, 29-11-1974",49,Pegawai Swasta,Cerai hidup,laki-laki,D3,Full-time,3,17500000,9,61000000,3,84,5,194,2,9000000,DPK,Tertagih dengan resiko tinggi,30500000
109,95284,17,7,"Sumatera Barat, 22-07-1993",30,Buruh,Cerai mati,laki-laki,D1,Retired,3,10500000,1,60500000,1,29,2,261,1,3500000,DPK,Tertagih dengan resiko rendah,15125000
110,60924,10,1,"Lampung, 31-03-1968",55,Pegawai Negeri,Menikah,laki-laki,S1,Full-time,3,24000000,6,50166667,17,4,1,633,0,8000000,DPK,Tertagih dengan resiko rendah,0
111,82178,2,18,"Maluku, 14-10-1992",31,Buruh,Cerai hidup,perempuan,D1,Contract,0,7500000,8,56333333,5,108,7,316,1,12500000,Kurang lancar,Tertagih dengan resiko rendah,14083333
112,56454,13,13,"Kalimantan Selatan, 06-06-1972",51,Pegawai Negeri,Cerai hidup,laki-laki,D3,Retired,3,15500000,8,57333333,15,46,3,665,1,8000000,DPK,Tertagih dengan resiko rendah,14333333
113,89890,10,14,"Maluku Utara, 04-11-1976",47,Pegawai Swasta,Cerai hidup,laki-laki,D3,Full-time,4,17500000,2,68000000,6,133,7,259,2,10000000,Diragukan,Tertagih dengan resiko tinggi,34000000
114,58048,20,6,"Nusa Tenggara Barat, 21-01-1960",63,Pengusaha,Cerai mati,perempuan,D1,Full-time,3,21500000,3,74500000,22,18,2,641,1,14500000,DPK,Tertagih dengan resiko rendah,18625000
115,78127,17,8,"Kepulauan Bangka Belitung, 20-03-1999",24,Pegawai Swasta,Cerai mati,perempuan,D3,Retired,5,15500000,6,75666667,14,123,6,209,3,18500000,Diragukan,Tertagih dengan resiko tinggi,56750000
116,53113,5,4,"Sulawesi Selatan, 18-12-1964",59,Buruh,Cerai mati,perempuan,D3,Retired,4,15500000,8,54666667,8,152,8,200,2,4500000,Diragukan,Tertagih dengan resiko tinggi,27333333
117,10147,12,14,"Jawa Tengah, 04-06-1978",45,Buruh,Menikah,perempuan,D1,Full-time,3,21500000,3,72500000,11,77,6,271,2,3500000,DPK,Tertagih dengan resiko tinggi,36250000
118,72086,5,9,"Riau, 08-06-1990",33,Profesional,Belum menikah,laki-laki,SMA,Part-time,0,4700000,2,21666667,1,85,5,92,2,9000000,DPK,Tidak tertagih dengan resiko tinggi,10833333
119,26255,5,2,"Jawa Tengah, 16-09-1991",32,Pegawai Swasta,Cerai hidup,laki-laki,S1,Full-time,3,22000000,8,86500000,15,52,4,631,1,22500000,DPK,Tertagih dengan resiko rendah,21625000
120,99793,9,12,"Sulawesi Utara, 12-04-1974",49,Pegawai Negeri,Belum menikah,perempuan,D3,Full-time,4,25500000,3,145166667,18,94,8,373,1,17500000,Kurang lancar,Tidak tertagih dengan resiko rendah,36291667
121,31034,6,15,"Banten, 10-04-1978",45,Profesional,Belum menikah,laki-laki,S1,Full-time,3,28000000,8,141666667,24,39,2,605,1,10000000,DPK,Tidak tertagih dengan resiko rendah,35416667
122,31139,16,5,"Kalimantan Selatan, 31-05-1992",31,Profesional,Cerai mati,laki-laki,S1,Retired,4,18000000,2,64166667,3,118,7,158,1,10500000,Kurang lancar,Tertagih dengan resiko rendah,16041667
123,36653,11,19,"Sulawesi Tengah, 22-02-1986",37,Pegawai Swasta,Belum menikah,laki-laki,S1,Retired,2,18000000,7,73000000,23,41,3,535,1,9000000,DPK,Tertagih dengan resiko rendah,18250000
124,12033,11,9,"Nusa Tenggara Timur, 20-06-1969",54,Profesional,Menikah,laki-laki,D1,Retired,3,15500000,3,69833333,16,13,2,426,0,8500000,DPK,Tertagih dengan resiko rendah,0
125,62741,7,5,"DI Yogyakarta, 15-04-1982",41,Pengusaha,Menikah,perempuan,D1,Full-time,3,24500000,3,64833333,7,148,8,184,3,12500000,Diragukan,Tertagih dengan resiko tinggi,48625000
126,82591,7,10,"Sumatera Utara, 27-01-1992",31,Pegawai Negeri,Cerai hidup,perempuan,SMP,Not-employed,1,4040000,1,17500000,1,85,7,60,1,5500000,DPK,Tidak tertagih dengan resiko tinggi,4375000
127,17867,14,15,"Riau, 22-01-1989",34,Profesional,Cerai mati,perempuan,D2,Full-time,4,17500000,2,60166667,1,112,8,275,2,16000000,Kurang lancar,Tertagih dengan resiko tinggi,30083333
