,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_age,collector_marital_status,collector_gender
183,7,surat panggilan,25,265500000,275000000,2167094,97.0,30,Cerai mati,laki-laki
184,8,surat panggilan,21,60000000,253500000,1536865,24.0,50,Menikah,perempuan
185,8,surat panggilan,35,176500000,404000000,3561119,44.0,59,Cerai hidup,laki-laki
186,24,datang ke tempat,46,144000000,525500000,308530587,27.0,38,Cerai hidup,laki-laki
187,22,datang ke tempat,63,334000000,1006500000,124444383,33.0,25,Belum menikah,laki-laki
188,5,sms or WA,14,75600000,85100000,200545,89.0,38,Menikah,perempuan
189,4,sms or WA,3,2300000,2400000,105047,96.0,44,Menikah,laki-laki
190,13,panggilan,47,357000000,387500000,28828874,92.0,32,Menikah,perempuan
191,12,panggilan,48,61000000,156000000,24862923,39.0,57,Cerai mati,perempuan
192,28,datang ke tempat,66,690000000,1495500000,421986237,46.0,40,Cerai mati,laki-laki
193,4,sms or WA,17,56200000,124100000,739938,45.0,55,Cerai hidup,perempuan
194,11,panggilan,43,508000000,726500000,46302373,70.0,35,Menikah,laki-laki
195,22,datang ke tempat,44,176000000,1474000000,154502194,12.0,44,Menikah,laki-laki
196,25,datang ke tempat,47,96000000,1219000000,97836583,8.0,63,Belum menikah,perempuan
197,13,panggilan,32,193000000,293000000,37912882,66.0,61,Belum menikah,perempuan
198,21,datang ke tempat,39,115500000,115500000,326882426,100.0,63,Belum menikah,perempuan
199,28,datang ke tempat,56,172000000,862000000,298335605,20.0,55,Cerai hidup,perempuan
200,22,datang ke tempat,57,1162000000,1617000000,234115147,72.0,26,Menikah,laki-laki
201,12,panggilan,38,76000000,339000000,71502763,22.0,33,Menikah,perempuan
202,19,datang ke tempat,68,904000000,1708000000,293568427,53.0,60,Cerai mati,perempuan
203,2,sms or WA,15,17700000,40000000,180538,44.0,53,Cerai hidup,perempuan
204,14,panggilan,38,298000000,614000000,25446637,49.0,25,Cerai hidup,laki-laki
205,1,sms or WA,1,400000,6400000,49971,6.0,35,Cerai hidup,laki-laki
206,27,datang ke tempat,54,456000000,894000000,439241731,51.0,56,Cerai mati,laki-laki
207,11,panggilan,33,564000000,646500000,51181323,87.0,24,Menikah,perempuan
208,13,panggilan,32,339000000,587000000,29119168,57.99999999999999,42,Menikah,laki-laki
209,18,datang ke tempat,43,602000000,863000000,113942096,70.0,25,Cerai mati,laki-laki
210,5,sms or WA,12,28700000,109200000,209656,26.0,41,Menikah,laki-laki
211,4,sms or WA,16,13100000,94100000,177586,14.000000000000002,54,Cerai hidup,perempuan
212,14,panggilan,33,43000000,427500000,20097727,10.0,32,Cerai mati,perempuan
213,3,sms or WA,19,127100000,184200000,709601,69.0,51,Belum menikah,laki-laki
214,11,panggilan,34,120000000,176000000,44444237,68.0,23,Cerai mati,laki-laki
215,4,sms or WA,14,16200000,32800000,198467,49.0,37,Belum menikah,laki-laki
216,21,datang ke tempat,64,178000000,207500000,85899723,86.0,59,Belum menikah,laki-laki
217,3,sms or WA,8,17400000,44500000,213799,39.0,26,Cerai hidup,perempuan
218,16,datang ke tempat,35,166000000,172000000,340709337,97.0,38,Belum menikah,laki-laki
219,12,panggilan,38,418000000,502000000,25304479,83.0,37,Cerai mati,perempuan
220,22,datang ke tempat,44,362000000,515500000,419539962,70.0,25,Menikah,perempuan
221,1,sms or WA,5,28400000,32200000,186555,88.0,46,Cerai hidup,laki-laki
222,12,panggilan,34,100000000,139000000,69658970,72.0,42,Cerai mati,perempuan
223,3,sms or WA,18,21400000,25000000,915124,86.0,39,Cerai mati,laki-laki
224,1,sms or WA,6,13800000,45600000,331249,30.0,50,Menikah,laki-laki
225,25,datang ke tempat,34,828000000,861500000,89351594,96.0,59,Cerai hidup,laki-laki
226,21,datang ke tempat,33,164000000,295500000,77421643,55.00000000000001,37,Menikah,perempuan
227,1,sms or WA,11,31900000,57100000,194196,56.00000000000001,62,Cerai mati,laki-laki
228,24,datang ke tempat,42,176000000,951000000,243128661,19.0,29,Belum menikah,perempuan
229,17,datang ke tempat,44,174000000,1090000000,210023035,16.0,63,Menikah,perempuan
230,21,datang ke tempat,53,1178000000,1229500000,471862956,96.0,56,Belum menikah,perempuan
231,14,panggilan,36,213000000,638000000,71961662,33.0,29,Menikah,laki-laki
232,16,datang ke tempat,61,480000000,1857500000,378729038,26.0,28,Cerai mati,perempuan
233,5,sms or WA,6,14900000,57400000,169079,26.0,32,Cerai mati,laki-laki
234,14,panggilan,43,110000000,114500000,77746682,96.0,28,Cerai mati,perempuan
235,18,datang ke tempat,64,498000000,627500000,125038707,79.0,29,Menikah,laki-laki
236,22,datang ke tempat,40,1152000000,1187000000,279637031,97.0,43,Cerai mati,laki-laki
237,3,sms or WA,1,5100000,5600000,25263,91.0,57,Menikah,laki-laki
238,4,sms or WA,5,13700000,25000000,65827,55.00000000000001,49,Cerai hidup,laki-laki
239,4,sms or WA,13,27500000,59800000,359661,46.0,52,Belum menikah,perempuan
240,20,datang ke tempat,50,418000000,737500000,155148997,56.99999999999999,42,Cerai hidup,laki-laki
241,23,datang ke tempat,48,366000000,1506000000,304195587,24.0,50,Belum menikah,perempuan
242,24,datang ke tempat,68,340000000,475000000,321813413,72.0,35,Menikah,perempuan
243,2,sms or WA,6,4100000,44200000,223255,9.0,60,Cerai mati,perempuan
244,12,panggilan,48,373000000,722000000,42527200,52.0,62,Belum menikah,laki-laki
245,9,surat panggilan,33,91500000,124500000,2842277,73.0,60,Belum menikah,laki-laki
246,6,surat panggilan,30,172000000,439500000,2455746,39.0,58,Menikah,perempuan
247,11,panggilan,40,155000000,605000000,74468204,26.0,58,Belum menikah,laki-laki
248,26,datang ke tempat,55,1056000000,1311500000,169000933,81.0,25,Cerai mati,perempuan
249,23,datang ke tempat,63,272000000,537000000,599427007,51.0,35,Menikah,perempuan
250,12,panggilan,45,217000000,295500000,63480431,73.0,26,Belum menikah,perempuan
251,23,datang ke tempat,38,792000000,1000000000,234436865,79.0,37,Menikah,perempuan
252,0,sms or WA,1,800000,900000,54495,89.0,52,Cerai mati,laki-laki
253,9,surat panggilan,25,111000000,151500000,2194529,73.0,57,Cerai mati,perempuan
254,17,datang ke tempat,42,414000000,675000000,144105929,61.0,47,Cerai mati,perempuan
255,3,sms or WA,17,22200000,105900000,758953,21.0,29,Cerai mati,laki-laki
256,10,surat panggilan,38,51500000,305000000,2797874,17.0,53,Cerai mati,laki-laki
257,2,sms or WA,18,52800000,92300000,928619,56.99999999999999,55,Cerai hidup,perempuan
258,5,sms or WA,7,4300000,21900000,325147,20.0,30,Cerai hidup,perempuan
259,24,datang ke tempat,45,680000000,919500000,195402827,74.0,41,Cerai hidup,perempuan
260,10,surat panggilan,23,206500000,291000000,1529546,71.0,63,Menikah,laki-laki
261,23,datang ke tempat,59,244000000,244000000,239739106,100.0,26,Cerai mati,laki-laki
262,25,datang ke tempat,56,1484000000,1556500000,506156689,95.0,39,Menikah,perempuan
263,27,datang ke tempat,65,1844000000,2045500000,568229744,90.0,63,Cerai mati,perempuan
264,7,surat panggilan,32,19500000,184000000,3049918,11.0,50,Cerai mati,perempuan
265,21,datang ke tempat,63,128000000,1831500000,326114185,7.000000000000001,35,Belum menikah,laki-laki
266,7,surat panggilan,24,20500000,116000000,1622677,18.0,30,Cerai hidup,perempuan
267,29,datang ke tempat,39,532000000,1149000000,201845820,46.0,62,Menikah,laki-laki
268,28,datang ke tempat,30,458000000,697500000,156417221,66.0,55,Cerai hidup,perempuan
269,18,datang ke tempat,57,238000000,1486500000,576813587,16.0,50,Cerai mati,laki-laki
270,23,datang ke tempat,48,322000000,778500000,298943297,41.0,35,Belum menikah,laki-laki
271,27,datang ke tempat,44,560000000,980500000,221480193,56.99999999999999,36,Menikah,perempuan
272,6,surat panggilan,34,79000000,186000000,2297628,42.0,33,Menikah,perempuan
273,16,datang ke tempat,40,256000000,702500000,103280481,36.0,48,Menikah,laki-laki
274,0,sms or WA,9,4400000,7300000,225281,60.0,52,Belum menikah,laki-laki
275,24,datang ke tempat,64,1018000000,1400000000,166096840,73.0,25,Menikah,laki-laki
276,5,sms or WA,12,99800000,111200000,222104,90.0,25,Menikah,perempuan
277,5,sms or WA,9,29000000,73700000,207884,39.0,54,Belum menikah,laki-laki
278,16,datang ke tempat,36,690000000,1242000000,152251902,56.00000000000001,60,Menikah,perempuan
279,0,sms or WA,11,13500000,26800000,214607,50.0,52,Cerai hidup,perempuan
280,9,surat panggilan,39,211000000,516500000,2380720,41.0,60,Menikah,perempuan
281,6,surat panggilan,25,53500000,106500000,1801484,50.0,35,Menikah,perempuan
282,12,panggilan,41,69000000,116500000,51923150,59.0,57,Belum menikah,laki-laki
283,29,datang ke tempat,32,284000000,562000000,188292634,51.0,41,Belum menikah,perempuan
284,15,panggilan,45,645000000,743500000,89097483,87.0,62,Cerai mati,laki-laki
285,26,datang ke tempat,32,240000000,571000000,202558903,42.0,44,Menikah,perempuan
286,14,panggilan,43,538000000,584500000,73794685,92.0,39,Belum menikah,perempuan
287,19,datang ke tempat,37,430000000,699500000,91120025,61.0,58,Cerai hidup,laki-laki
288,13,panggilan,36,666000000,714000000,47015886,93.0,23,Cerai mati,perempuan
289,27,datang ke tempat,64,190000000,344000000,649874066,55.00000000000001,34,Cerai mati,laki-laki
290,2,sms or WA,9,13700000,43200000,271337,32.0,30,Cerai mati,laki-laki
291,27,datang ke tempat,35,94000000,101500000,196643114,93.0,29,Belum menikah,laki-laki
292,16,datang ke tempat,64,278000000,411500000,109808893,68.0,36,Cerai mati,laki-laki
293,23,datang ke tempat,46,268000000,369500000,185585054,73.0,31,Menikah,laki-laki
294,0,sms or WA,2,12700000,18100000,138436,70.0,25,Menikah,laki-laki
295,29,datang ke tempat,30,178000000,238500000,109113735,75.0,27,Cerai mati,perempuan
296,29,datang ke tempat,68,478000000,1606000000,276537025,30.0,41,Belum menikah,perempuan
297,12,panggilan,33,67000000,647500000,18793172,10.0,61,Cerai mati,perempuan
298,3,sms or WA,2,14100000,16000000,144925,88.0,35,Cerai mati,perempuan
299,23,datang ke tempat,57,608000000,1510500000,107617651,40.0,52,Cerai hidup,perempuan
300,24,datang ke tempat,44,302000000,553000000,137689273,55.00000000000001,57,Cerai hidup,laki-laki
301,25,datang ke tempat,33,172000000,217500000,175289013,79.0,42,Belum menikah,perempuan
302,12,panggilan,30,71000000,245000000,14736406,29.0,26,Belum menikah,perempuan
303,18,datang ke tempat,55,270000000,1439000000,290490873,19.0,61,Cerai mati,perempuan
304,26,datang ke tempat,38,498000000,833500000,109919557,60.0,62,Cerai hidup,perempuan
305,9,surat panggilan,26,33500000,273000000,1627648,12.0,57,Menikah,laki-laki
306,7,surat panggilan,24,30000000,105000000,2158287,29.0,49,Menikah,perempuan
307,8,surat panggilan,31,38000000,349500000,1679739,11.0,42,Menikah,perempuan
308,12,panggilan,44,86000000,456000000,68953344,19.0,60,Belum menikah,laki-laki
309,6,surat panggilan,38,33000000,85500000,3688278,39.0,52,Belum menikah,perempuan
310,6,surat panggilan,38,177000000,193500000,3685150,91.0,39,Menikah,laki-laki
311,15,panggilan,35,234000000,613500000,27668836,38.0,30,Cerai mati,laki-laki
312,24,datang ke tempat,38,520000000,794500000,355766051,65.0,49,Cerai mati,perempuan
313,11,panggilan,31,101000000,124500000,12964449,81.0,39,Menikah,laki-laki
314,2,sms or WA,11,30000000,66500000,318628,45.0,41,Belum menikah,perempuan
315,18,datang ke tempat,50,101500000,101500000,158289390,100.0,45,Cerai mati,perempuan
316,21,datang ke tempat,69,152000000,252000000,465114219,60.0,27,Menikah,perempuan
317,19,datang ke tempat,66,392000000,1456500000,382865515,27.0,33,Cerai hidup,laki-laki
318,10,surat panggilan,24,94000000,183500000,2050889,51.0,55,Menikah,laki-laki
