,number_of_dependents,net_income,loan_amount,tenor,amount_of_late,late_payment_amount,credit_score,arrears_amounts,aset,debtor_education_level,aging,loss_reverse
115,5.0,15500000.0,75666667.0,14.0,123.0,6.0,209.0,3.0,18500000.0,D3,Diragukan,56750000.0
116,4.0,15500000.0,54666667.0,8.0,152.0,8.0,200.0,2.0,4500000.0,D3,Diragukan,27333333.0
117,3.0,21500000.0,72500000.0,11.0,77.0,6.0,271.0,2.0,3500000.0,D1,DPK,36250000.0
118,0.0,4700000.0,21666667.0,1.0,85.0,5.0,92.0,2.0,9000000.0,SMA,DPK,10833333.0
119,3.0,22000000.0,86500000.0,15.0,52.0,4.0,631.0,1.0,22500000.0,S1,DPK,21625000.0
120,4.0,25500000.0,145166667.0,18.0,94.0,8.0,373.0,1.0,17500000.0,D3,Kurang lancar,36291667.0
121,3.0,28000000.0,141666667.0,24.0,39.0,2.0,605.0,1.0,10000000.0,S1,DPK,35416667.0
122,4.0,18000000.0,64166667.0,3.0,118.0,7.0,158.0,1.0,10500000.0,S1,Kurang lancar,16041667.0
123,2.0,18000000.0,73000000.0,23.0,41.0,3.0,535.0,1.0,9000000.0,S1,DPK,18250000.0
124,3.0,15500000.0,69833333.0,16.0,13.0,2.0,426.0,0.0,8500000.0,D1,DPK,0.0
125,3.0,24500000.0,64833333.0,7.0,148.0,8.0,184.0,3.0,12500000.0,D1,Diragukan,48625000.0
126,1.0,4040000.0,17500000.0,1.0,85.0,7.0,60.0,1.0,5500000.0,SMP,DPK,4375000.0
127,4.0,17500000.0,60166667.0,1.0,112.0,8.0,275.0,2.0,16000000.0,D2,Kurang lancar,30083333.0
128,3.0,22500000.0,61000000.0,22.0,83.0,5.0,491.0,2.0,9500000.0,D3,DPK,30500000.0
129,2.0,18000000.0,54166667.0,11.0,92.0,6.0,262.0,1.0,8000000.0,S1,Kurang lancar,13541667.0
130,3.0,18000000.0,44500000.0,7.0,122.0,6.0,162.0,2.0,9000000.0,S2,Diragukan,22250000.0
131,1.0,10700000.0,58166667.0,16.0,42.0,2.0,312.0,1.0,4500000.0,SMA,DPK,14541667.0
132,5.0,15500000.0,72666667.0,10.0,77.0,5.0,184.0,2.0,5000000.0,D2,DPK,36333333.0
133,4.0,10500000.0,57500000.0,7.0,22.0,2.0,271.0,1.0,8500000.0,D2,DPK,14375000.0
134,3.0,15500000.0,44833333.0,24.0,50.0,4.0,667.0,1.0,8500000.0,D1,DPK,11208333.0
135,3.0,17000000.0,63000000.0,24.0,30.0,2.0,683.0,1.0,9000000.0,S1,DPK,15750000.0
136,3.0,18000000.0,64166667.0,13.0,132.0,8.0,213.0,3.0,17500000.0,S1,Diragukan,48125000.0
137,5.0,22500000.0,55000000.0,11.0,164.0,10.0,268.0,2.0,7500000.0,D1,Diragukan,27500000.0
138,3.0,18000000.0,62666667.0,17.0,45.0,3.0,403.0,1.0,4500000.0,S2,DPK,15666667.0
139,1.0,200000.0,21500000.0,2.0,115.0,8.0,45.0,1.0,15500000.0,SMP,Kurang lancar,5375000.0
140,2.0,21000000.0,65833333.0,22.0,65.0,3.0,500.0,1.0,13000000.0,S3,DPK,16458333.0
141,1.0,6700000.0,56833333.0,5.0,0.0,0.0,434.0,0.0,14500000.0,SMA,Lancar,0.0
142,4.0,17500000.0,64833333.0,2.0,130.0,7.0,105.0,2.0,4500000.0,D3,Diragukan,32416667.0
143,6.0,10700000.0,56000000.0,12.0,0.0,0.0,349.0,0.0,6000000.0,SMA,Lancar,0.0
144,4.0,22500000.0,57500000.0,8.0,116.0,7.0,147.0,4.0,8000000.0,D3,Kurang lancar,57500000.0
145,3.0,26500000.0,135500000.0,33.0,23.0,2.0,581.0,0.0,5000000.0,D1,DPK,0.0
146,2.0,21000000.0,74166667.0,1.0,75.0,9.0,293.0,1.0,17500000.0,S2,DPK,18541667.0
147,3.0,13000000.0,52500000.0,10.0,32.0,3.0,325.0,1.0,9500000.0,S1,DPK,13125000.0
148,1.0,9700000.0,56666667.0,2.0,82.0,7.0,330.0,1.0,9000000.0,SMA,DPK,14166667.0
149,4.0,21000000.0,65833333.0,10.0,140.0,8.0,298.0,1.0,7000000.0,S1,Diragukan,16458333.0
150,4.0,13000000.0,60500000.0,8.0,42.0,3.0,311.0,1.0,8000000.0,S2,DPK,15125000.0
151,3.0,15500000.0,70000000.0,20.0,5.0,1.0,616.0,0.0,6000000.0,D3,DPK,0.0
152,4.0,10500000.0,57500000.0,11.0,28.0,2.0,358.0,0.0,18000000.0,D3,DPK,0.0
153,4.0,15500000.0,67500000.0,4.0,93.0,6.0,193.0,2.0,7500000.0,D3,Kurang lancar,33750000.0
154,4.0,10500000.0,57000000.0,2.0,132.0,7.0,287.0,3.0,4000000.0,D3,Diragukan,42750000.0
155,5.0,17500000.0,52166667.0,11.0,114.0,6.0,278.0,2.0,5000000.0,D2,Kurang lancar,26083333.0
156,4.0,18000000.0,66000000.0,2.0,112.0,9.0,157.0,2.0,7000000.0,S3,Kurang lancar,33000000.0
157,3.0,17000000.0,81500000.0,12.0,68.0,7.0,208.0,1.0,8000000.0,S2,DPK,20375000.0
158,4.0,19000000.0,45833333.0,15.0,69.0,5.0,398.0,1.0,4000000.0,S3,DPK,11458333.0
159,1.0,8700000.0,57833333.0,15.0,36.0,2.0,370.0,1.0,7500000.0,SMA,DPK,14458333.0
160,4.0,23000000.0,83500000.0,11.0,120.0,7.0,209.0,1.0,6000000.0,S2,Kurang lancar,20875000.0
161,3.0,18000000.0,77333333.0,23.0,55.0,3.0,497.0,2.0,13500000.0,S1,DPK,38666667.0
162,4.0,22500000.0,57666667.0,22.0,84.0,4.0,574.0,2.0,7500000.0,D2,DPK,28833333.0
163,4.0,19000000.0,68833333.0,1.0,106.0,8.0,203.0,2.0,13500000.0,S1,Kurang lancar,34416667.0
164,4.0,19000000.0,54833333.0,11.0,89.0,9.0,245.0,1.0,5000000.0,S1,DPK,13708333.0
165,4.0,13000000.0,60666667.0,18.0,22.0,2.0,459.0,1.0,4000000.0,S1,DPK,15166667.0
166,1.0,12700000.0,55500000.0,10.0,19.0,2.0,349.0,0.0,9000000.0,SMA,DPK,0.0
167,2.0,26000000.0,138833333.0,29.0,27.0,2.0,677.0,1.0,5000000.0,S2,DPK,34708333.0
168,3.0,21000000.0,67500000.0,16.0,72.0,3.0,409.0,1.0,12500000.0,S1,DPK,16875000.0
169,4.0,25500000.0,137500000.0,3.0,109.0,6.0,350.0,2.0,19000000.0,D3,Kurang lancar,68750000.0
170,4.0,13000000.0,57666667.0,13.0,34.0,4.0,497.0,1.0,13500000.0,S2,DPK,14416667.0
171,4.0,27500000.0,135666667.0,9.0,121.0,9.0,129.0,1.0,7500000.0,D1,Diragukan,33916667.0
172,1.0,5700000.0,61000000.0,6.0,17.0,1.0,381.0,1.0,3000000.0,SMA,DPK,15250000.0
173,3.0,15500000.0,62333333.0,3.0,129.0,9.0,137.0,1.0,9500000.0,D2,Diragukan,15583333.0
174,5.0,6700000.0,53666667.0,18.0,30.0,2.0,236.0,1.0,5500000.0,SMA,DPK,13416667.0
175,4.0,24000000.0,54166667.0,23.0,8.0,1.0,530.0,0.0,6500000.0,S1,DPK,0.0
176,2.0,13000000.0,58333333.0,14.0,22.0,2.0,483.0,0.0,8000000.0,S2,DPK,0.0
177,3.0,10500000.0,64666667.0,16.0,16.0,1.0,373.0,1.0,14500000.0,D1,DPK,16166667.0
178,3.0,18000000.0,74000000.0,3.0,81.0,6.0,194.0,2.0,9000000.0,S2,DPK,37000000.0
179,4.0,10500000.0,61500000.0,18.0,56.0,3.0,385.0,1.0,7000000.0,D2,DPK,15375000.0
180,1.0,1640000.0,22666667.0,1.0,96.0,8.0,34.0,1.0,8000000.0,SMP,Kurang lancar,5666667.0
181,4.0,17500000.0,66833333.0,4.0,114.0,7.0,193.0,2.0,8500000.0,D3,Kurang lancar,33416667.0
182,4.0,21000000.0,67166667.0,1.0,129.0,7.0,285.0,2.0,37000000.0,S3,Diragukan,33583333.0
183,2.0,200000.0,15833333.0,1.0,134.0,7.0,23.0,1.0,9000000.0,SD,Diragukan,3958333.0
184,1.0,200000.0,18500000.0,2.0,162.0,8.0,86.0,2.0,9000000.0,SD,Diragukan,9250000.0
185,4.0,19000000.0,63166667.0,12.0,96.0,9.0,163.0,1.0,21500000.0,S1,Kurang lancar,15791667.0
186,4.0,13000000.0,53166667.0,13.0,41.0,3.0,312.0,1.0,31500000.0,S2,DPK,13291667.0
187,4.0,10500000.0,58500000.0,7.0,119.0,7.0,324.0,2.0,9000000.0,D3,Kurang lancar,29250000.0
188,5.0,15500000.0,45500000.0,6.0,76.0,7.0,224.0,1.0,7000000.0,D2,DPK,11375000.0
189,2.0,11700000.0,57166667.0,17.0,0.0,0.0,331.0,0.0,9000000.0,SMA,Lancar,0.0
190,2.0,22000000.0,68833333.0,21.0,34.0,3.0,482.0,1.0,9500000.0,S1,DPK,17208333.0
191,5.0,20500000.0,56500000.0,1.0,100.0,8.0,250.0,2.0,5500000.0,D3,Kurang lancar,28250000.0
192,5.0,200000.0,14499999.999999993,2.0,133.0,7.0,29.0,3.0,18500000.0,SMP,Diragukan,10875000.0
193,3.0,10500000.0,57166667.0,16.0,90.0,4.0,333.0,2.0,11000000.0,D3,DPK,28583333.0
194,4.0,10500000.0,59166667.0,11.0,16.0,1.0,478.0,1.0,11500000.0,D1,DPK,14791667.0
195,4.0,22500000.0,55500000.0,16.0,68.0,4.0,488.0,1.0,9000000.0,D3,DPK,13875000.0
196,3.0,10500000.0,57666667.0,15.0,49.0,4.0,327.0,1.0,4000000.0,D3,DPK,14416667.0
197,5.0,10500000.0,62666667.0,13.0,101.0,4.0,406.0,1.0,7000000.0,D1,Kurang lancar,15666667.0
198,2.0,23000000.0,73833333.0,20.0,17.0,3.0,452.0,0.0,8000000.0,S2,DPK,0.0
199,4.0,23000000.0,64833333.0,12.0,134.0,8.0,218.0,2.0,7000000.0,S2,Diragukan,32416667.0
200,7.0,5700000.0,58666667.0,3.0,121.0,5.0,370.0,2.0,11500000.0,SMA,Diragukan,29333333.0
201,3.0,13000000.0,54666667.0,14.0,61.0,3.0,422.0,2.0,12000000.0,S1,DPK,27333333.0
202,2.0,13000000.0,54166667.0,11.0,47.0,3.0,489.0,1.0,8500000.0,S2,DPK,13541667.0
203,4.0,21000000.0,65000000.0,5.0,82.0,8.0,243.0,1.0,7500000.0,S1,DPK,16250000.0
204,6.0,8700000.0,63000000.0,7.0,78.0,3.0,475.0,2.0,8500000.0,SMA,DPK,31500000.0
205,2.0,13000000.0,62666667.0,10.0,3.0,1.0,312.0,0.0,9000000.0,S2,DPK,0.0
206,2.0,13000000.0,56333333.0,17.0,2.0,1.0,460.0,0.0,5000000.0,S2,DPK,0.0
207,2.0,18000000.0,61500000.0,12.0,87.0,8.0,199.0,1.0,8500000.0,S2,DPK,15375000.0
208,3.0,19000000.0,60166667.0,5.0,123.0,9.0,187.0,3.0,4000000.0,S2,Diragukan,45125000.0
209,4.0,24000000.0,66500000.0,1.0,62.0,8.0,189.0,1.0,7500000.0,S1,DPK,16625000.0
210,4.0,10500000.0,54833333.0,11.0,17.0,1.0,393.0,1.0,9000000.0,D1,DPK,13708333.0
211,4.0,15500000.0,62833333.0,8.0,106.0,6.0,184.0,1.0,5500000.0,D3,Kurang lancar,15708333.0
212,3.0,16000000.0,65666667.0,20.0,9.0,2.0,484.0,0.0,6500000.0,S2,DPK,0.0
213,2.0,21000000.0,63166667.0,20.0,9.0,3.0,434.0,0.0,8500000.0,S1,DPK,0.0
214,3.0,15500000.0,70000000.0,6.0,130.0,8.0,233.0,2.0,9000000.0,D3,Diragukan,35000000.0
215,5.0,10500000.0,64333333.0,14.0,76.0,4.0,276.0,1.0,7500000.0,D3,DPK,16083333.0
216,3.0,24000000.0,67833333.0,17.0,58.0,3.0,484.0,1.0,9500000.0,S1,DPK,16958333.0
217,3.0,10500000.0,56166667.0,14.0,32.0,4.0,296.0,0.0,6000000.0,D3,DPK,0.0
218,4.0,18500000.0,62833333.0,6.0,149.0,9.0,184.0,2.0,11000000.0,D1,Diragukan,31416667.0
219,2.0,13000000.0,55333333.0,11.0,82.0,6.0,464.0,2.0,7000000.0,S1,DPK,27666667.0
220,2.0,18000000.0,54500000.0,1.0,145.0,7.0,100.99999999999997,2.0,10500000.0,S2,Diragukan,27250000.0
221,2.0,21000000.0,64333333.0,15.0,69.0,3.0,672.0,1.0,9000000.0,S1,DPK,16083333.0
222,2.0,14000000.0,56500000.0,3.0,106.0,5.0,458.0,2.0,5000000.0,S1,Kurang lancar,28250000.0
223,3.0,19500000.0,69666667.0,24.0,72.0,5.0,500.0,1.0,10500000.0,D3,DPK,17416667.0
224,3.0,22500000.0,59500000.0,1.0,145.0,8.0,181.0,2.0,7500000.0,D1,Diragukan,29750000.0
225,7.0,2600000.0,16666666.999999993,1.0,147.0,7.0,64.0,1.0,12500000.0,SMP,Diragukan,4166667.0
226,4.0,13000000.0,68333333.0,12.0,27.0,1.0,328.0,1.0,5000000.0,S1,DPK,17083333.0
227,3.0,17500000.0,52500000.0,17.0,0.0,0.0,490.0,0.0,19500000.0,D3,Lancar,0.0
228,3.0,15500000.0,58500000.0,15.0,16.0,2.0,402.0,0.0,5500000.0,D3,DPK,0.0
229,3.0,19500000.0,54166667.0,24.0,55.0,2.0,629.0,2.0,16500000.0,D3,DPK,27083333.0
230,4.0,24000000.0,66333333.0,18.0,53.0,2.0,371.0,1.0,18000000.0,S1,DPK,16583333.0
231,1.0,14700000.0,59333333.0,19.0,66.0,4.0,385.0,1.0,10000000.0,SMA,DPK,14833333.0
232,5.0,200000.0,25000000.0,1.0,61.0,5.0,66.0,1.0,14500000.0,SD,DPK,6250000.0
233,3.0,16500000.0,63500000.0,15.0,58.0,3.0,501.0,2.0,9000000.0,D1,DPK,31750000.0
234,4.0,17500000.0,63333333.0,9.0,66.0,3.0,244.0,1.0,34500000.0,D3,DPK,15833333.0
235,3.0,10500000.0,56333333.0,19.0,15.0,1.0,209.0,1.0,10000000.0,D1,DPK,14083333.0
236,5.0,12700000.0,51666667.0,3.0,8.0,1.0,306.0,0.0,4500000.0,SMA,DPK,0.0
237,5.0,10500000.0,52666667.0,8.0,84.0,8.0,259.0,2.0,8500000.0,D1,DPK,26333333.0
238,4.0,25500000.0,137833333.0,3.0,174.0,9.0,278.0,3.0,4500000.0,D3,Diragukan,103375000.0
