,net_income,loan_amount,amount_of_late,late_payment_amount,credit_score,arrears_amounts,loss_reverse
99,14700000.0,53666667.0,45.0,3.0,348.0,1.0,13416667.0
100,4700000.0,21666667.0,130.0,9.0,65.0,2.0,10833333.0
101,23000000.0,78333333.0,83.0,4.0,614.0,2.0,39166667.0
102,17500000.0,47500000.0,17.0,1.0,515.0,1.0,11875000.0
103,13000000.0,58500000.0,46.0,2.0,471.0,1.0,14625000.0
104,13000000.0,54500000.0,109.0,6.0,485.0,2.0,27250000.0
105,18000000.0,53000000.0,59.0,3.0,670.0,1.0,13250000.0
106,18000000.0,74333333.0,88.0,7.0,196.0,1.0,18583333.0
107,6700000.0,57666667.0,38.0,4.0,275.0,1.0,14416667.0
108,17500000.0,61000000.0,84.0,5.0,194.0,2.0,30500000.0
109,10500000.0,60500000.0,29.0,2.0,261.0,1.0,15125000.0
110,24000000.0,50166667.0,4.0,1.0,633.0,0.0,0.0
111,7500000.0,56333333.0,108.0,7.0,316.0,1.0,14083333.0
112,15500000.0,57333333.0,46.0,3.0,665.0,1.0,14333333.0
113,17500000.0,68000000.0,133.0,7.0,259.0,2.0,34000000.0
114,21500000.0,74500000.0,18.0,2.0,641.0,1.0,18625000.0
115,15500000.0,75666667.0,123.0,6.0,209.0,3.0,56750000.0
116,15500000.0,54666667.0,152.0,8.0,200.0,2.0,27333333.0
117,21500000.0,72500000.0,77.0,6.0,271.0,2.0,36250000.0
118,4700000.0,21666667.0,85.0,5.0,92.0,2.0,10833333.0
119,22000000.0,86500000.0,52.0,4.0,631.0,1.0,21625000.0
120,25500000.0,145166667.0,94.0,8.0,373.0,1.0,36291667.0
121,28000000.0,141666667.0,39.0,2.0,605.0,1.0,35416667.0
122,18000000.0,64166667.0,118.0,7.0,158.0,1.0,16041667.0
123,18000000.0,73000000.0,41.0,3.0,535.0,1.0,18250000.0
124,15500000.0,69833333.0,13.0,2.0,426.0,0.0,0.0
125,24500000.0,64833333.0,148.0,8.0,184.0,3.0,48625000.0
126,4040000.0,17500000.0,85.0,7.0,60.0,1.0,4375000.0
127,17500000.0,60166667.0,112.0,8.0,275.0,2.0,30083333.0
128,22500000.0,61000000.0,83.0,5.0,491.0,2.0,30500000.0
129,18000000.0,54166667.0,92.0,6.0,262.0,1.0,13541667.0
130,18000000.0,44500000.0,122.0,6.0,162.0,2.0,22250000.0
131,10700000.0,58166667.0,42.0,2.0,312.0,1.0,14541667.0
132,15500000.0,72666667.0,77.0,5.0,184.0,2.0,36333333.0
133,10500000.0,57500000.0,22.0,2.0,271.0,1.0,14375000.0
134,15500000.0,44833333.0,50.0,4.0,667.0,1.0,11208333.0
135,17000000.0,63000000.0,30.0,2.0,683.0,1.0,15750000.0
136,18000000.0,64166667.0,132.0,8.0,213.0,3.0,48125000.0
137,22500000.0,55000000.0,164.0,10.0,268.0,2.0,27500000.0
138,18000000.0,62666667.0,45.0,3.0,403.0,1.0,15666667.0
139,200000.0,21500000.0,115.0,8.0,45.0,1.0,5375000.0
140,21000000.0,65833333.0,65.0,3.0,500.0,1.0,16458333.0
141,6700000.0,56833333.0,0.0,0.0,434.0,0.0,0.0
142,17500000.0,64833333.0,130.0,7.0,105.0,2.0,32416667.0
143,10700000.0,56000000.0,0.0,0.0,349.0,0.0,0.0
144,22500000.0,57500000.0,116.0,7.0,147.0,4.0,57500000.0
145,26500000.0,135500000.0,23.0,2.0,581.0,0.0,0.0
146,21000000.0,74166667.0,75.0,9.0,293.0,1.0,18541667.0
147,13000000.0,52500000.0,32.0,3.0,325.0,1.0,13125000.0
148,9700000.0,56666667.0,82.0,7.0,330.0,1.0,14166667.0
149,21000000.0,65833333.0,140.0,8.0,298.0,1.0,16458333.0
150,13000000.0,60500000.0,42.0,3.0,311.0,1.0,15125000.0
151,15500000.0,70000000.0,5.0,1.0,616.0,0.0,0.0
152,10500000.0,57500000.0,28.0,2.0,358.0,0.0,0.0
153,15500000.0,67500000.0,93.0,6.0,193.0,2.0,33750000.0
154,10500000.0,57000000.0,132.0,7.0,287.0,3.0,42750000.0
155,17500000.0,52166667.0,114.0,6.0,278.0,2.0,26083333.0
156,18000000.0,66000000.0,112.0,9.0,157.0,2.0,33000000.0
157,17000000.0,81500000.0,68.0,7.0,208.0,1.0,20375000.0
158,19000000.0,45833333.0,69.0,5.0,398.0,1.0,11458333.0
159,8700000.0,57833333.0,36.0,2.0,370.0,1.0,14458333.0
160,23000000.0,83500000.0,120.0,7.0,209.0,1.0,20875000.0
161,18000000.0,77333333.0,55.0,3.0,497.0,2.0,38666667.0
162,22500000.0,57666667.0,84.0,4.0,574.0,2.0,28833333.0
163,19000000.0,68833333.0,106.0,8.0,203.0,2.0,34416667.0
164,19000000.0,54833333.0,89.0,9.0,245.0,1.0,13708333.0
165,13000000.0,60666667.0,22.0,2.0,459.0,1.0,15166667.0
166,12700000.0,55500000.0,19.0,2.0,349.0,0.0,0.0
167,26000000.0,138833333.0,27.0,2.0,677.0,1.0,34708333.0
168,21000000.0,67500000.0,72.0,3.0,409.0,1.0,16875000.0
169,25500000.0,137500000.0,109.0,6.0,350.0,2.0,68750000.0
170,13000000.0,57666667.0,34.0,4.0,497.0,1.0,14416667.0
171,27500000.0,135666667.0,121.0,9.0,129.0,1.0,33916667.0
172,5700000.0,61000000.0,17.0,1.0,381.0,1.0,15250000.0
173,15500000.0,62333333.0,129.0,9.0,137.0,1.0,15583333.0
174,6700000.0,53666667.0,30.0,2.0,236.0,1.0,13416667.0
175,24000000.0,54166667.0,8.0,1.0,530.0,0.0,0.0
176,13000000.0,58333333.0,22.0,2.0,483.0,0.0,0.0
177,10500000.0,64666667.0,16.0,1.0,373.0,1.0,16166667.0
178,18000000.0,74000000.0,81.0,6.0,194.0,2.0,37000000.0
179,10500000.0,61500000.0,56.0,3.0,385.0,1.0,15375000.0
180,1640000.0,22666667.0,96.0,8.0,34.0,1.0,5666667.0
181,17500000.0,66833333.0,114.0,7.0,193.0,2.0,33416667.0
182,21000000.0,67166667.0,129.0,7.0,285.0,2.0,33583333.0
183,200000.0,15833333.0,134.0,7.0,23.0,1.0,3958333.0
184,200000.0,18500000.0,162.0,8.0,86.0,2.0,9250000.0
185,19000000.0,63166667.0,96.0,9.0,163.0,1.0,15791667.0
186,13000000.0,53166667.0,41.0,3.0,312.0,1.0,13291667.0
187,10500000.0,58500000.0,119.0,7.0,324.0,2.0,29250000.0
188,15500000.0,45500000.0,76.0,7.0,224.0,1.0,11375000.0
189,11700000.0,57166667.0,0.0,0.0,331.0,0.0,0.0
190,22000000.0,68833333.0,34.0,3.0,482.0,1.0,17208333.0
191,20500000.0,56500000.0,100.0,8.0,250.0,2.0,28250000.0
192,200000.0,14499999.999999993,133.0,7.0,29.0,3.0,10875000.0
193,10500000.0,57166667.0,90.0,4.0,333.0,2.0,28583333.0
194,10500000.0,59166667.0,16.0,1.0,478.0,1.0,14791667.0
195,22500000.0,55500000.0,68.0,4.0,488.0,1.0,13875000.0
196,10500000.0,57666667.0,49.0,4.0,327.0,1.0,14416667.0
197,10500000.0,62666667.0,101.0,4.0,406.0,1.0,15666667.0
198,23000000.0,73833333.0,17.0,3.0,452.0,0.0,0.0
199,23000000.0,64833333.0,134.0,8.0,218.0,2.0,32416667.0
200,5700000.0,58666667.0,121.0,5.0,370.0,2.0,29333333.0
201,13000000.0,54666667.0,61.0,3.0,422.0,2.0,27333333.0
202,13000000.0,54166667.0,47.0,3.0,489.0,1.0,13541667.0
203,21000000.0,65000000.0,82.0,8.0,243.0,1.0,16250000.0
204,8700000.0,63000000.0,78.0,3.0,475.0,2.0,31500000.0
205,13000000.0,62666667.0,3.0,1.0,312.0,0.0,0.0
206,13000000.0,56333333.0,2.0,1.0,460.0,0.0,0.0
207,18000000.0,61500000.0,87.0,8.0,199.0,1.0,15375000.0
208,19000000.0,60166667.0,123.0,9.0,187.0,3.0,45125000.0
209,24000000.0,66500000.0,62.0,8.0,189.0,1.0,16625000.0
210,10500000.0,54833333.0,17.0,1.0,393.0,1.0,13708333.0
211,15500000.0,62833333.0,106.0,6.0,184.0,1.0,15708333.0
212,16000000.0,65666667.0,9.0,2.0,484.0,0.0,0.0
213,21000000.0,63166667.0,9.0,3.0,434.0,0.0,0.0
214,15500000.0,70000000.0,130.0,8.0,233.0,2.0,35000000.0
215,10500000.0,64333333.0,76.0,4.0,276.0,1.0,16083333.0
216,24000000.0,67833333.0,58.0,3.0,484.0,1.0,16958333.0
217,10500000.0,56166667.0,32.0,4.0,296.0,0.0,0.0
218,18500000.0,62833333.0,149.0,9.0,184.0,2.0,31416667.0
219,13000000.0,55333333.0,82.0,6.0,464.0,2.0,27666667.0
220,18000000.0,54500000.0,145.0,7.0,100.99999999999991,2.0,27250000.0
221,21000000.0,64333333.0,69.0,3.0,672.0,1.0,16083333.0
222,14000000.0,56500000.0,106.0,5.0,458.0,2.0,28250000.0
223,19500000.0,69666667.0,72.0,5.0,500.0,1.0,17416667.0
224,22500000.0,59500000.0,145.0,8.0,181.0,2.0,29750000.0
225,2600000.0,16666666.999999993,147.0,7.0,64.0,1.0,4166667.0
226,13000000.0,68333333.0,27.0,1.0,328.0,1.0,17083333.0
227,17500000.0,52500000.0,0.0,0.0,490.0,0.0,0.0
228,15500000.0,58500000.0,16.0,2.0,402.0,0.0,0.0
229,19500000.0,54166667.0,55.0,2.0,629.0,2.0,27083333.0
230,24000000.0,66333333.0,53.0,2.0,371.0,1.0,16583333.0
231,14700000.0,59333333.0,66.0,4.0,385.0,1.0,14833333.0
232,200000.0,25000000.0,61.0,5.0,66.0,1.0,6250000.0
233,16500000.0,63500000.0,58.0,3.0,501.0,2.0,31750000.0
234,17500000.0,63333333.0,66.0,3.0,244.0,1.0,15833333.0
235,10500000.0,56333333.0,15.0,1.0,209.0,1.0,14083333.0
236,12700000.0,51666667.0,8.0,1.0,306.0,0.0,0.0
237,10500000.0,52666667.0,84.0,8.0,259.0,2.0,26333333.0
238,25500000.0,137833333.0,174.0,9.0,278.0,3.0,103375000.0
239,15500000.0,74333333.0,123.0,7.0,137.0,2.0,37166667.0
240,13000000.0,60166667.0,0.0,0.0,400.0,0.0,0.0
241,13000000.0,59833333.0,48.0,2.0,461.0,1.0,14958333.0
242,24000000.0,56166667.0,41.0,3.0,510.0,1.0,14041667.0
243,21000000.0,49500000.0,16.0,1.0,421.0,1.0,12375000.0
244,3560000.0,17500000.0,94.0,7.0,45.0,1.0,4375000.0
245,22500000.0,67333333.0,110.0,8.0,186.0,2.0,33666667.0
246,18000000.0,62333333.0,73.0,6.0,263.0,1.0,15583333.0
247,15500000.0,72666667.0,69.0,6.0,234.0,1.0,18166667.0
248,5000000.0,62000000.0,23.0,2.0,256.0,1.0,15500000.0
249,6700000.0,57166667.0,37.0,3.0,318.0,0.0,0.0
250,25500000.0,133500000.0,100.0,7.0,350.0,1.0,33375000.0
251,20500000.0,83166667.0,115.0,9.0,169.0,2.0,41583333.0
252,15500000.0,59666667.0,159.0,8.0,125.0,3.0,44750000.0
253,13700000.0,57000000.0,19.0,1.0,333.0,1.0,14250000.0
254,21000000.0,78333333.0,30.0,1.0,568.0,1.0,19583333.0
255,6700000.0,55500000.0,46.0,3.0,284.0,1.0,13875000.0
256,21000000.0,47333333.0,21.0,1.0,600.0,1.0,11833333.0
257,10500000.0,52666667.0,53.0,3.0,367.0,1.0,13166667.0
258,13000000.0,55000000.0,72.0,4.0,379.0,2.0,27500000.0
259,21000000.0,66333333.0,138.0,8.0,225.0,2.0,33166667.0
260,15500000.0,77500000.0,141.0,9.0,206.0,2.0,38750000.0
261,10500000.0,48333333.0,32.0,2.0,325.0,1.0,12083333.0
262,20000000.0,60666667.0,65.0,4.0,207.0,1.0,15166667.0
263,10500000.0,59000000.0,22.0,2.0,275.0,1.0,14750000.0
264,5500000.0,65500000.0,69.0,4.0,375.0,1.0,16375000.0
265,24000000.0,42500000.0,34.0,2.0,636.0,1.0,10625000.0
266,22500000.0,51000000.0,41.0,2.0,481.0,2.0,25500000.0
267,22500000.0,56666667.0,151.0,9.0,242.0,2.0,28333333.0
268,4040000.0,18166667.0,117.0,8.0,65.0,1.0,4541667.0
269,22500000.0,44500000.0,89.0,5.0,513.0,3.0,33375000.0
270,18000000.0,50500000.0,40.0,2.0,444.0,1.0,12625000.0
271,13000000.0,57000000.0,117.0,9.0,454.0,1.0,14250000.0
272,15500000.0,68333333.0,97.0,6.0,235.0,1.0,17083333.0
273,15500000.0,76666667.0,167.0,9.0,251.0,3.0,57500000.0
274,15500000.0,75000000.0,70.0,5.0,150.0,1.0,18750000.0
275,21000000.0,75500000.0,44.0,3.0,599.0,1.0,18875000.0
276,19500000.0,51166667.0,56.0,4.0,574.0,1.0,12791667.0
277,5000000.0,60000000.0,17.0,1.0,277.0,1.0,15000000.0
278,15500000.0,63500000.0,103.0,9.0,199.0,2.0,31750000.0
279,5500000.0,58833333.0,109.0,5.0,363.0,3.0,44125000.0
280,5700000.0,64000000.0,23.0,1.0,210.0,1.0,16000000.0
281,13700000.0,56666667.0,19.0,1.0,313.0,1.0,14166667.0
282,13000000.0,57000000.0,28.0,2.0,334.0,1.0,14250000.0
283,21000000.0,70166667.0,101.0,5.0,214.0,2.0,35083333.0
284,29000000.0,138666667.0,85.0,4.0,680.0,3.0,104000000.0
285,13500000.0,57833333.0,4.0,1.0,319.0,0.0,0.0
286,9700000.0,59666667.0,0.0,0.0,399.0,0.0,0.0
287,10500000.0,57333333.0,17.0,1.0,208.0,1.0,14333333.0
288,28000000.0,141666667.0,64.0,3.0,473.0,1.0,35416667.0
289,19000000.0,61000000.0,154.0,9.0,226.0,3.0,45750000.0
290,10500000.0,58500000.0,68.0,5.0,295.0,2.0,29250000.0
291,19000000.0,72000000.0,149.0,7.0,100.99999999999991,2.0,36000000.0
292,10500000.0,57333333.0,18.0,2.0,285.0,0.0,0.0
293,24000000.0,73833333.0,134.0,8.0,247.0,2.0,36916667.0
294,26500000.0,141500000.0,111.0,8.0,494.0,1.0,35375000.0
295,13000000.0,61166667.0,39.0,3.0,340.0,1.0,15291667.0
296,19000000.0,63166667.0,70.0,3.0,612.0,3.0,47375000.0
297,22000000.0,67333333.0,0.0,0.0,515.0,0.0,0.0
298,16500000.0,63833333.0,0.0,0.0,682.0,0.0,0.0
299,26000000.0,142166667.0,15.0,2.0,514.0,0.0,0.0
300,15500000.0,60666667.0,64.0,9.0,225.0,1.0,15166667.0
301,17500000.0,47500000.0,62.0,3.0,162.0,1.0,11875000.0
302,13000000.0,59166667.0,47.0,3.0,426.0,1.0,14791667.0
303,10500000.0,61333333.0,31.0,4.0,223.0,0.0,0.0
304,22500000.0,65333333.0,43.0,2.0,476.0,2.0,32666667.0
305,13000000.0,58333333.0,10.0,1.0,366.0,0.0,0.0
306,23000000.0,63833333.0,191.0,9.0,202.0,4.0,63833333.0
307,22500000.0,74333333.0,0.0,0.0,448.0,0.0,0.0
308,25500000.0,135333333.0,5.0,1.0,424.0,0.0,0.0
309,10500000.0,54833333.0,127.0,9.0,296.0,2.0,27416667.0
310,26000000.0,138833333.0,28.0,2.0,306.0,1.0,34708333.0
311,16500000.0,60666667.0,44.0,4.0,215.0,1.0,15166667.0
312,27000000.0,141166667.0,139.0,8.0,488.0,2.0,70583333.0
313,18000000.0,62333333.0,37.0,2.0,657.0,1.0,15583333.0
314,26000000.0,143333333.0,27.0,1.0,465.0,1.0,35833333.0
315,17500000.0,56666667.0,111.0,5.0,482.0,1.0,14166667.0
316,10500000.0,57333333.0,76.0,4.0,309.0,2.0,28666667.0
317,13000000.0,60333333.0,36.0,3.0,441.0,1.0,15083333.0
318,10500000.0,56000000.0,39.0,4.0,304.0,0.0,0.0
319,17500000.0,63333333.0,85.0,5.0,129.0,1.0,15833333.0
320,24500000.0,60000000.0,62.0,5.0,518.0,2.0,30000000.0
321,15500000.0,45333333.0,170.0,8.0,255.0,3.0,34000000.0
322,18500000.0,58666667.0,92.0,4.0,129.0,2.0,29333333.0
323,18000000.0,77333333.0,65.0,4.0,450.0,1.0,19333333.0
324,26000000.0,135500000.0,54.0,4.0,268.0,2.0,67750000.0
325,4520000.0,20500000.0,140.0,8.0,76.0,2.0,10250000.0
326,2120000.0,13000000.0,146.0,9.0,34.0,2.0,6500000.0
327,26000000.0,135833333.0,55.0,3.0,643.0,1.0,33958333.0
328,13000000.0,59166667.0,131.0,7.0,424.0,2.0,29583333.0
329,6700000.0,62666667.0,44.0,4.0,349.0,1.0,15666667.0
330,17500000.0,61000000.0,173.0,8.0,295.0,3.0,45750000.0
331,15500000.0,70000000.0,119.0,7.0,220.0,3.0,52500000.0
332,10500000.0,59666667.0,34.0,2.0,347.0,1.0,14916667.0
333,5700000.0,57666667.0,135.0,9.0,264.0,3.0,43250000.0
334,23000000.0,61833333.0,97.0,10.0,139.0,1.0,15458333.0
335,6700000.0,60166667.0,4.0,1.0,404.0,0.0,0.0
336,24000000.0,47166667.0,77.0,4.0,408.0,1.0,11791667.0
337,16500000.0,55500000.0,152.0,8.0,258.0,3.0,41625000.0
338,22500000.0,52166667.0,64.0,3.0,551.0,2.0,26083333.0
339,18500000.0,67500000.0,93.0,6.0,219.0,2.0,33750000.0
340,13000000.0,58666667.0,57.0,5.0,329.0,1.0,14666667.0
341,13000000.0,55333333.0,7.000000000000007,1.0,425.0,0.0,0.0
342,10500000.0,63000000.0,10.0,1.0,256.0,0.0,0.0
343,12500000.0,63000000.0,54.0,2.0,306.0,1.0,15750000.0
344,13000000.0,51000000.0,0.0,0.0,459.0,0.0,0.0
345,10500000.0,62333333.0,36.0,2.0,304.0,1.0,15583333.0
346,17500000.0,59166667.0,79.0,5.0,242.0,2.0,29583333.0
347,13000000.0,62500000.0,59.0,5.0,304.0,1.0,15625000.0
348,12700000.0,53500000.0,36.0,3.0,364.0,1.0,13375000.0
349,10500000.0,54000000.0,6.0,1.0,353.0,0.0,0.0
350,18000000.0,69666667.0,138.0,7.0,170.0,2.0,34833333.0
351,20000000.0,57333333.0,49.0,4.0,690.0,1.0,14333333.0
352,11700000.0,66333333.0,58.0,3.0,284.0,1.0,16583333.0
353,13000000.0,56666667.0,75.0,3.0,431.0,1.0,14166667.0
354,2600000.0,20666667.0,78.0,4.0,23.0,2.0,10333333.0
355,10700000.0,57333333.0,80.0,4.0,398.0,1.0,14333333.0
356,17500000.0,63333333.0,81.0,7.0,190.0,2.0,31666667.0
357,200000.0,21500000.0,109.0,7.0,15.0,2.0,10750000.0
358,15500000.0,54833333.0,96.0,7.0,147.0,2.0,27416667.0
359,21000000.0,67166667.0,132.0,8.0,191.0,5.0,83958333.0
360,13000000.0,56666667.0,36.0,4.0,408.0,1.0,14166667.0
361,16500000.0,61333333.0,96.0,6.0,234.0,2.0,30666667.0
362,17500000.0,53500000.0,56.0,5.0,208.0,2.0,26750000.0
363,18500000.0,56833333.0,40.0,5.0,189.0,1.0,14208333.0
364,10500000.0,57333333.0,98.0,4.0,299.0,2.0,28666667.0
365,19000000.0,68166667.0,107.0,9.0,189.0,2.0,34083333.0
366,2600000.0,18166667.0,49.0,3.0,6.0,2.0,9083333.0
367,10500000.0,62500000.0,6.0,1.0,353.0,0.0,0.0
368,5700000.0,63666667.0,46.0,3.0,381.0,1.0,15916667.0
369,18000000.0,68333333.0,98.0,7.0,252.0,1.0,17083333.0
370,14700000.0,59833333.0,0.0,0.0,473.0,0.0,0.0
371,24000000.0,49666667.0,10.0,1.0,550.0,0.0,0.0
372,18500000.0,78333333.0,111.0,5.0,266.0,2.0,39166667.0
373,15500000.0,66000000.0,154.0,7.0,241.0,4.0,66000000.0
374,22500000.0,51666667.0,26.0,2.0,565.0,1.0,12916667.0
375,18000000.0,50666667.0,33.0,3.0,566.0,1.0,12666667.0
376,17500000.0,56833333.0,149.0,8.0,250.0,5.0,71041667.0
377,24000000.0,45333333.0,22.0,3.0,575.0,0.0,0.0
378,11700000.0,55666667.0,19.999999999999993,3.0,458.0,0.0,0.0
379,18500000.0,59833333.0,103.0,8.0,186.0,3.0,44875000.0
380,14700000.0,58833333.0,59.0,3.0,340.0,1.0,14708333.0
381,22500000.0,57666667.0,163.0,10.0,202.0,3.0,43250000.0
382,13000000.0,56833333.0,16.0,2.0,363.0,0.0,0.0
383,2600000.0,24500000.0,80.0,7.0,75.0,1.0,6125000.0
384,10500000.0,62666667.0,63.0,4.0,338.0,1.0,15666667.0
385,18000000.0,51666667.0,6.0,1.0,606.0,0.0,0.0
386,22500000.0,63166667.0,59.0,6.0,464.0,0.0,0.0
387,18500000.0,45166667.0,117.0,9.0,210.0,1.0,11291667.0
388,9700000.0,60166667.0,17.0,2.0,475.0,0.0,0.0
