,net_income,loan_amount,amount_of_late,late_payment_amount,credit_score,arrears_amounts,loss_reverse,credit_risk
20,14000000.0,63000000.0,27.0,2.0,424.0,1.0,15750000.0,Tidak tertagih dengan resiko tinggi
21,10500000.0,65166666.66666666,44.0,2.0,380.0,1.0,16291666.666666666,Tidak tertagih dengan resiko tinggi
22,13000000.0,55333333.333333336,76.0,4.0,316.0,1.0,13833333.333333334,Tidak tertagih dengan resiko tinggi
23,13000000.0,49000000.0,39.0,2.0,488.0,1.0,12250000.0,Tidak tertagih dengan resiko tinggi
24,23000000.0,55666666.66666666,140.0,9.0,156.0,2.0,27833333.33333333,Tertagih dengan resiko tinggi
25,13000000.0,59666666.66666666,0.0,0.0,474.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
26,18000000.0,69333333.33333333,78.0,3.0,104.0,2.0,34666666.666666664,Tertagih dengan resiko tinggi
27,2600000.0,21166666.66666667,56.0,6.0,8.0,1.0,5291666.666666668,Tertagih dengan resiko rendah
28,13000000.0,58666666.66666666,59.0,3.0,410.0,2.0,29333333.33333333,Tertagih dengan resiko tinggi
29,5500000.0,61166666.66666666,59.0,4.0,365.0,1.0,15291666.666666666,Tidak tertagih dengan resiko tinggi
30,10500000.0,61833333.333333336,34.0,3.0,346.0,1.0,15458333.333333334,Tidak tertagih dengan resiko tinggi
31,18000000.0,50333333.333333336,81.0,5.0,573.0,2.0,25166666.666666668,Tidak tertagih dengan resiko tinggi
32,25500000.0,140000000.0,140.0,8.0,355.0,2.0,70000000.0,Tidak tertagih dengan resiko rendah
33,10500000.0,63000000.0,40.0,2.0,325.0,1.0,15750000.0,Tidak tertagih dengan resiko tinggi
34,15500000.0,43500000.0,0.0,0.0,656.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
35,13000000.0,55166666.66666666,27.0,2.0,326.0,1.0,13791666.666666666,Tidak tertagih dengan resiko tinggi
36,10500000.0,59000000.0,95.0,6.0,288.0,1.0,14750000.0,Tidak tertagih dengan resiko tinggi
37,29000000.0,137166666.66666666,59.0,3.0,229.0,2.0,68583333.33333333,Tidak tertagih dengan resiko rendah
38,12500000.0,60333333.333333336,19.0,1.0,369.0,1.0,15083333.333333334,Tidak tertagih dengan resiko tinggi
39,7700000.0,59500000.0,74.0,4.0,450.0,2.0,29750000.0,Tertagih dengan resiko tinggi
40,13000000.0,63833333.333333336,16.0,3.0,372.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
41,2600000.0,20166666.66666667,150.0,11.0,17.0,3.0,15125000.0,Tertagih dengan resiko rendah
42,17500000.0,64333333.333333336,186.0,8.0,205.0,4.0,64333333.333333336,Tertagih dengan resiko tinggi
43,17500000.0,88500000.0,15.0,1.0,619.0,1.0,22125000.0,Tidak tertagih dengan resiko tinggi
44,18000000.0,80333333.33333331,12.0,2.0,433.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
45,10500000.0,59666666.66666666,66.0,4.0,356.0,1.0,14916666.666666666,Tidak tertagih dengan resiko tinggi
46,15500000.0,47166666.66666666,144.0,9.0,154.0,2.0,23583333.33333333,Tertagih dengan resiko tinggi
47,15500000.0,91833333.33333331,118.0,8.0,117.0,1.0,22958333.33333333,Tertagih dengan resiko tinggi
48,8700000.0,55333333.333333336,23.0,1.0,266.0,1.0,13833333.333333334,Tidak tertagih dengan resiko tinggi
49,13000000.0,55833333.333333336,0.0,0.0,367.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
50,13000000.0,56500000.0,49.0,3.0,306.0,1.0,14125000.0,Tidak tertagih dengan resiko tinggi
51,9700000.0,68500000.0,8.0,2.0,449.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
52,15500000.0,55166666.66666666,29.0,2.0,559.0,1.0,13791666.666666666,Tidak tertagih dengan resiko tinggi
53,13700000.0,51666666.66666666,28.0,2.0,340.0,1.0,12916666.666666666,Tidak tertagih dengan resiko tinggi
54,10500000.0,64166666.66666666,51.0,2.0,348.0,1.0,16041666.666666666,Tidak tertagih dengan resiko tinggi
55,13700000.0,59333333.333333336,24.0,2.0,477.0,1.0,14833333.333333334,Tidak tertagih dengan resiko tinggi
56,15500000.0,66333333.333333336,91.0,5.0,156.0,3.0,49750000.0,Tertagih dengan resiko tinggi
57,10500000.0,56166666.66666666,104.0,7.0,376.0,3.0,42125000.0,Tertagih dengan resiko tinggi
58,18000000.0,49166666.66666666,133.0,8.0,104.0,4.0,49166666.66666666,Tertagih dengan resiko tinggi
59,28000000.0,135333333.33333334,9.0,2.0,649.0,0.0,0.0,Tidak tertagih dengan resiko rendah
60,13000000.0,64500000.0,55.0,5.0,424.0,2.0,32250000.0,Tertagih dengan resiko tinggi
61,10500000.0,56333333.333333336,19.999999999999993,1.0,314.0,1.0,14083333.333333334,Tidak tertagih dengan resiko tinggi
62,9700000.0,56833333.333333336,17.0,1.0,433.0,1.0,14208333.333333334,Tidak tertagih dengan resiko tinggi
63,19000000.0,54166666.66666666,33.0,2.0,695.0,1.0,13541666.666666666,Tidak tertagih dengan resiko tinggi
64,15500000.0,68833333.33333333,126.0,6.0,151.0,4.0,68833333.33333333,Tertagih dengan resiko tinggi
65,10700000.0,58166666.66666666,7.000000000000007,1.0,345.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
66,22000000.0,68500000.0,144.0,8.0,210.0,1.0,17125000.0,Tertagih dengan resiko tinggi
67,15500000.0,61500000.0,203.0,10.0,298.0,6.0,92250000.0,Tertagih dengan resiko tinggi
68,20000000.0,65666666.66666666,128.0,8.0,229.0,2.0,32833333.33333333,Tertagih dengan resiko tinggi
69,28000000.0,135000000.0,34.0,2.0,486.0,1.0,33750000.0,Tidak tertagih dengan resiko rendah
70,13700000.0,60000000.0,107.0,4.0,444.0,1.0,15000000.0,Tidak tertagih dengan resiko tinggi
71,10500000.0,59166666.66666666,97.0,4.0,372.0,1.0,14791666.666666666,Tidak tertagih dengan resiko tinggi
72,200000.0,23333333.33333333,160.0,9.0,64.0,5.0,29166666.666666664,Tertagih dengan resiko rendah
73,22500000.0,67333333.33333333,93.0,7.0,188.0,1.0,16833333.333333332,Tidak tertagih dengan resiko tinggi
74,24000000.0,73833333.33333331,83.0,6.0,242.0,1.0,18458333.33333333,Tidak tertagih dengan resiko tinggi
75,18000000.0,65166666.66666666,3.0,1.0,691.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
76,17500000.0,55666666.66666666,103.0,6.0,299.0,2.0,27833333.33333333,Tertagih dengan resiko tinggi
77,200000.0,22500000.0,93.0,5.0,37.0,2.0,11250000.0,Tertagih dengan resiko rendah
78,16500000.0,64000000.0,38.0,2.0,657.0,1.0,16000000.0,Tidak tertagih dengan resiko tinggi
79,21000000.0,64666666.66666666,22.0,3.0,440.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
80,25500000.0,140166666.66666666,134.0,9.0,158.0,2.0,70083333.33333333,Tidak tertagih dengan resiko rendah
81,15500000.0,58833333.333333336,163.0,8.0,253.0,3.0,44125000.0,Tertagih dengan resiko tinggi
82,24000000.0,60333333.333333336,117.0,6.0,545.0,2.0,30166666.666666668,Tertagih dengan resiko tinggi
83,22500000.0,45833333.333333336,0.0,0.0,481.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
84,14700000.0,60166666.66666666,21.0,1.0,268.0,1.0,15041666.666666666,Tidak tertagih dengan resiko tinggi
85,10500000.0,59666666.66666666,14.0,1.0,244.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
86,10500000.0,58333333.333333336,12.0,1.0,357.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
87,18000000.0,64000000.0,83.0,6.0,245.0,2.0,32000000.0,Tertagih dengan resiko tinggi
88,25500000.0,138500000.0,157.0,10.0,221.0,2.0,69250000.0,Tidak tertagih dengan resiko rendah
89,19500000.0,64000000.0,94.0,5.0,215.0,2.0,32000000.0,Tertagih dengan resiko tinggi
90,10500000.0,60000000.0,4.0,1.0,253.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
91,19000000.0,66333333.333333336,86.0,5.0,552.0,2.0,33166666.666666668,Tertagih dengan resiko tinggi
92,10500000.0,64166666.66666666,5.0,1.0,396.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
93,10500000.0,58833333.333333336,47.0,2.0,404.0,1.0,14708333.333333334,Tidak tertagih dengan resiko tinggi
94,12700000.0,59666666.66666666,130.0,7.0,457.0,4.0,59666666.66666666,Tertagih dengan resiko tinggi
95,13000000.0,59833333.333333336,33.0,2.0,361.0,1.0,14958333.333333334,Tidak tertagih dengan resiko tinggi
96,22500000.0,67000000.0,71.0,6.0,273.0,1.0,16750000.0,Tidak tertagih dengan resiko tinggi
97,9700000.0,60666666.66666666,0.0,0.0,318.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
98,18000000.0,58333333.333333336,137.0,6.0,163.0,2.0,29166666.666666668,Tertagih dengan resiko tinggi
99,14700000.0,53666666.66666666,45.0,3.0,348.0,1.0,13416666.666666666,Tidak tertagih dengan resiko tinggi
100,4700000.0,21666666.66666667,130.0,9.0,65.0,2.0,10833333.333333334,Tertagih dengan resiko rendah
101,23000000.0,78333333.33333331,83.0,4.0,614.0,2.0,39166666.66666666,Tertagih dengan resiko tinggi
102,17500000.0,47500000.0,17.0,1.0,515.0,1.0,11875000.0,Tidak tertagih dengan resiko tinggi
103,13000000.0,58500000.0,46.0,2.0,471.0,1.0,14625000.0,Tidak tertagih dengan resiko tinggi
104,13000000.0,54500000.0,109.0,6.0,485.0,2.0,27250000.0,Tertagih dengan resiko tinggi
105,18000000.0,53000000.0,59.0,3.0,670.0,1.0,13250000.0,Tidak tertagih dengan resiko tinggi
106,18000000.0,74333333.33333331,88.0,7.0,196.0,1.0,18583333.33333333,Tidak tertagih dengan resiko tinggi
107,6700000.0,57666666.66666666,38.0,4.0,275.0,1.0,14416666.666666666,Tidak tertagih dengan resiko tinggi
108,17500000.0,61000000.0,84.0,5.0,194.0,2.0,30500000.0,Tertagih dengan resiko tinggi
109,10500000.0,60500000.0,29.0,2.0,261.0,1.0,15125000.0,Tidak tertagih dengan resiko tinggi
110,24000000.0,50166666.66666666,4.0,1.0,633.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
111,7500000.0,56333333.333333336,108.0,7.0,316.0,1.0,14083333.333333334,Tidak tertagih dengan resiko tinggi
112,15500000.0,57333333.333333336,46.0,3.0,665.0,1.0,14333333.333333334,Tidak tertagih dengan resiko tinggi
113,17500000.0,68000000.0,133.0,7.0,259.0,2.0,34000000.0,Tertagih dengan resiko tinggi
114,21500000.0,74500000.0,18.0,2.0,641.0,1.0,18625000.0,Tidak tertagih dengan resiko tinggi
115,15500000.0,75666666.66666667,123.0,6.0,209.0,3.0,56750000.0,Tertagih dengan resiko tinggi
116,15500000.0,54666666.66666666,152.0,8.0,200.0,2.0,27333333.33333333,Tertagih dengan resiko tinggi
117,21500000.0,72500000.0,77.0,6.0,271.0,2.0,36250000.0,Tertagih dengan resiko tinggi
118,4700000.0,21666666.66666667,85.0,5.0,92.0,2.0,10833333.333333334,Tertagih dengan resiko rendah
119,22000000.0,86500000.0,52.0,4.0,631.0,1.0,21625000.0,Tidak tertagih dengan resiko tinggi
120,25500000.0,145166666.66666663,94.0,8.0,373.0,1.0,36291666.66666666,Tidak tertagih dengan resiko rendah
121,28000000.0,141666666.66666666,39.0,2.0,605.0,1.0,35416666.666666664,Tidak tertagih dengan resiko rendah
122,18000000.0,64166666.66666666,118.0,7.0,158.0,1.0,16041666.666666666,Tidak tertagih dengan resiko tinggi
123,18000000.0,73000000.0,41.0,3.0,535.0,1.0,18250000.0,Tidak tertagih dengan resiko tinggi
124,15500000.0,69833333.33333333,13.0,2.0,426.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
125,24500000.0,64833333.333333336,148.0,8.0,184.0,3.0,48625000.0,Tertagih dengan resiko tinggi
126,4040000.0,17500000.0,85.0,7.0,60.0,1.0,4375000.0,Tertagih dengan resiko rendah
127,17500000.0,60166666.66666666,112.0,8.0,275.0,2.0,30083333.33333333,Tertagih dengan resiko tinggi
128,22500000.0,61000000.0,83.0,5.0,491.0,2.0,30500000.0,Tertagih dengan resiko tinggi
129,18000000.0,54166666.66666666,92.0,6.0,262.0,1.0,13541666.666666666,Tidak tertagih dengan resiko tinggi
130,18000000.0,44500000.0,122.0,6.0,162.0,2.0,22250000.0,Tertagih dengan resiko tinggi
131,10700000.0,58166666.66666666,42.0,2.0,312.0,1.0,14541666.666666666,Tidak tertagih dengan resiko tinggi
132,15500000.0,72666666.66666667,77.0,5.0,184.0,2.0,36333333.333333336,Tertagih dengan resiko tinggi
133,10500000.0,57500000.0,22.0,2.0,271.0,1.0,14375000.0,Tidak tertagih dengan resiko tinggi
134,15500000.0,44833333.333333336,50.0,4.0,667.0,1.0,11208333.333333334,Tidak tertagih dengan resiko tinggi
135,17000000.0,63000000.0,30.0,2.0,683.0,1.0,15750000.0,Tidak tertagih dengan resiko tinggi
136,18000000.0,64166666.66666666,132.0,8.0,213.0,3.0,48125000.0,Tertagih dengan resiko tinggi
137,22500000.0,55000000.0,164.0,10.0,268.0,2.0,27500000.0,Tertagih dengan resiko tinggi
138,18000000.0,62666666.66666666,45.0,3.0,403.0,1.0,15666666.666666666,Tidak tertagih dengan resiko tinggi
139,200000.0,21500000.0,115.0,8.0,45.0,1.0,5375000.0,Tertagih dengan resiko rendah
140,21000000.0,65833333.333333336,65.0,3.0,500.0,1.0,16458333.333333334,Tidak tertagih dengan resiko tinggi
141,6700000.0,56833333.333333336,0.0,0.0,434.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
142,17500000.0,64833333.333333336,130.0,7.0,105.0,2.0,32416666.666666668,Tertagih dengan resiko tinggi
143,10700000.0,56000000.0,0.0,0.0,349.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
144,22500000.0,57500000.0,116.0,7.0,147.0,4.0,57500000.0,Tertagih dengan resiko tinggi
145,26500000.0,135500000.0,23.0,2.0,581.0,0.0,0.0,Tidak tertagih dengan resiko rendah
146,21000000.0,74166666.66666667,75.0,9.0,293.0,1.0,18541666.666666668,Tidak tertagih dengan resiko tinggi
147,13000000.0,52500000.0,32.0,3.0,325.0,1.0,13125000.0,Tidak tertagih dengan resiko tinggi
148,9700000.0,56666666.66666666,82.0,7.0,330.0,1.0,14166666.666666666,Tidak tertagih dengan resiko tinggi
149,21000000.0,65833333.333333336,140.0,8.0,298.0,1.0,16458333.333333334,Tertagih dengan resiko tinggi
150,13000000.0,60500000.0,42.0,3.0,311.0,1.0,15125000.0,Tidak tertagih dengan resiko tinggi
151,15500000.0,70000000.0,5.0,1.0,616.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
152,10500000.0,57500000.0,28.0,2.0,358.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
153,15500000.0,67500000.0,93.0,6.0,193.0,2.0,33750000.0,Tertagih dengan resiko tinggi
154,10500000.0,57000000.0,132.0,7.0,287.0,3.0,42750000.0,Tertagih dengan resiko tinggi
155,17500000.0,52166666.66666666,114.0,6.0,278.0,2.0,26083333.33333333,Tertagih dengan resiko tinggi
156,18000000.0,66000000.0,112.0,9.0,157.0,2.0,33000000.0,Tertagih dengan resiko tinggi
157,17000000.0,81500000.0,68.0,7.0,208.0,1.0,20375000.0,Tidak tertagih dengan resiko tinggi
158,19000000.0,45833333.333333336,69.0,5.0,398.0,1.0,11458333.333333334,Tidak tertagih dengan resiko tinggi
159,8700000.0,57833333.333333336,36.0,2.0,370.0,1.0,14458333.333333334,Tidak tertagih dengan resiko tinggi
160,23000000.0,83500000.0,120.0,7.0,209.0,1.0,20875000.0,Tertagih dengan resiko tinggi
161,18000000.0,77333333.33333331,55.0,3.0,497.0,2.0,38666666.66666666,Tertagih dengan resiko tinggi
162,22500000.0,57666666.66666666,84.0,4.0,574.0,2.0,28833333.33333333,Tertagih dengan resiko tinggi
163,19000000.0,68833333.33333333,106.0,8.0,203.0,2.0,34416666.666666664,Tertagih dengan resiko tinggi
164,19000000.0,54833333.333333336,89.0,9.0,245.0,1.0,13708333.333333334,Tidak tertagih dengan resiko tinggi
165,13000000.0,60666666.66666666,22.0,2.0,459.0,1.0,15166666.666666666,Tidak tertagih dengan resiko tinggi
166,12700000.0,55500000.0,19.0,2.0,349.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
167,26000000.0,138833333.33333334,27.0,2.0,677.0,1.0,34708333.333333336,Tidak tertagih dengan resiko rendah
168,21000000.0,67500000.0,72.0,3.0,409.0,1.0,16875000.0,Tidak tertagih dengan resiko tinggi
169,25500000.0,137500000.0,109.0,6.0,350.0,2.0,68750000.0,Tidak tertagih dengan resiko rendah
170,13000000.0,57666666.66666666,34.0,4.0,497.0,1.0,14416666.666666666,Tidak tertagih dengan resiko tinggi
171,27500000.0,135666666.66666666,121.0,9.0,129.0,1.0,33916666.666666664,Tidak tertagih dengan resiko rendah
172,5700000.0,61000000.0,17.0,1.0,381.0,1.0,15250000.0,Tidak tertagih dengan resiko tinggi
173,15500000.0,62333333.333333336,129.0,9.0,137.0,1.0,15583333.333333334,Tertagih dengan resiko tinggi
174,6700000.0,53666666.66666666,30.0,2.0,236.0,1.0,13416666.666666666,Tidak tertagih dengan resiko tinggi
175,24000000.0,54166666.66666666,8.0,1.0,530.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
176,13000000.0,58333333.333333336,22.0,2.0,483.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
177,10500000.0,64666666.66666666,16.0,1.0,373.0,1.0,16166666.666666666,Tidak tertagih dengan resiko tinggi
178,18000000.0,74000000.0,81.0,6.0,194.0,2.0,37000000.0,Tertagih dengan resiko tinggi
179,10500000.0,61500000.0,56.0,3.0,385.0,1.0,15375000.0,Tidak tertagih dengan resiko tinggi
180,1640000.0,22666666.66666667,96.0,8.0,34.0,1.0,5666666.666666668,Tertagih dengan resiko rendah
181,17500000.0,66833333.333333336,114.0,7.0,193.0,2.0,33416666.666666668,Tertagih dengan resiko tinggi
182,21000000.0,67166666.66666667,129.0,7.0,285.0,2.0,33583333.333333336,Tertagih dengan resiko tinggi
183,200000.0,15833333.333333336,134.0,7.0,23.0,1.0,3958333.333333334,Tertagih dengan resiko rendah
184,200000.0,18500000.0,162.0,8.0,86.0,2.0,9250000.0,Tertagih dengan resiko rendah
185,19000000.0,63166666.66666666,96.0,9.0,163.0,1.0,15791666.666666666,Tidak tertagih dengan resiko tinggi
186,13000000.0,53166666.66666666,41.0,3.0,312.0,1.0,13291666.666666666,Tidak tertagih dengan resiko tinggi
187,10500000.0,58500000.0,119.0,7.0,324.0,2.0,29250000.0,Tertagih dengan resiko tinggi
188,15500000.0,45500000.0,76.0,7.0,224.0,1.0,11375000.0,Tidak tertagih dengan resiko tinggi
189,11700000.0,57166666.66666666,0.0,0.0,331.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
190,22000000.0,68833333.33333333,34.0,3.0,482.0,1.0,17208333.333333332,Tidak tertagih dengan resiko tinggi
191,20500000.0,56500000.0,100.0,8.0,250.0,2.0,28250000.0,Tertagih dengan resiko tinggi
192,200000.0,14499999.999999993,133.0,7.0,29.0,3.0,10875000.0,Tertagih dengan resiko rendah
193,10500000.0,57166666.66666666,90.0,4.0,333.0,2.0,28583333.33333333,Tertagih dengan resiko tinggi
194,10500000.0,59166666.66666666,16.0,1.0,478.0,1.0,14791666.666666666,Tidak tertagih dengan resiko tinggi
195,22500000.0,55500000.0,68.0,4.0,488.0,1.0,13875000.0,Tidak tertagih dengan resiko tinggi
196,10500000.0,57666666.66666666,49.0,4.0,327.0,1.0,14416666.666666666,Tidak tertagih dengan resiko tinggi
197,10500000.0,62666666.66666666,101.0,4.0,406.0,1.0,15666666.666666666,Tidak tertagih dengan resiko tinggi
198,23000000.0,73833333.33333331,17.0,3.0,452.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
199,23000000.0,64833333.333333336,134.0,8.0,218.0,2.0,32416666.666666668,Tertagih dengan resiko tinggi
200,5700000.0,58666666.66666666,121.0,5.0,370.0,2.0,29333333.33333333,Tertagih dengan resiko tinggi
201,13000000.0,54666666.66666666,61.0,3.0,422.0,2.0,27333333.33333333,Tidak tertagih dengan resiko tinggi
202,13000000.0,54166666.66666666,47.0,3.0,489.0,1.0,13541666.666666666,Tidak tertagih dengan resiko tinggi
203,21000000.0,65000000.0,82.0,8.0,243.0,1.0,16250000.0,Tidak tertagih dengan resiko tinggi
204,8700000.0,63000000.0,78.0,3.0,475.0,2.0,31500000.0,Tertagih dengan resiko tinggi
205,13000000.0,62666666.66666666,3.0,1.0,312.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
206,13000000.0,56333333.333333336,2.0,1.0,460.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
207,18000000.0,61500000.0,87.0,8.0,199.0,1.0,15375000.0,Tidak tertagih dengan resiko tinggi
208,19000000.0,60166666.66666666,123.0,9.0,187.0,3.0,45125000.0,Tertagih dengan resiko tinggi
209,24000000.0,66500000.0,62.0,8.0,189.0,1.0,16625000.0,Tidak tertagih dengan resiko tinggi
210,10500000.0,54833333.333333336,17.0,1.0,393.0,1.0,13708333.333333334,Tidak tertagih dengan resiko tinggi
211,15500000.0,62833333.333333336,106.0,6.0,184.0,1.0,15708333.333333334,Tidak tertagih dengan resiko tinggi
212,16000000.0,65666666.66666666,9.0,2.0,484.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
213,21000000.0,63166666.66666666,9.0,3.0,434.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
214,15500000.0,70000000.0,130.0,8.0,233.0,2.0,35000000.0,Tertagih dengan resiko tinggi
215,10500000.0,64333333.333333336,76.0,4.0,276.0,1.0,16083333.333333334,Tidak tertagih dengan resiko tinggi
216,24000000.0,67833333.33333333,58.0,3.0,484.0,1.0,16958333.333333332,Tidak tertagih dengan resiko tinggi
217,10500000.0,56166666.66666666,32.0,4.0,296.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
218,18500000.0,62833333.333333336,149.0,9.0,184.0,2.0,31416666.666666668,Tertagih dengan resiko tinggi
219,13000000.0,55333333.333333336,82.0,6.0,464.0,2.0,27666666.666666668,Tertagih dengan resiko tinggi
220,18000000.0,54500000.0,145.0,7.0,100.99999999999991,2.0,27250000.0,Tertagih dengan resiko tinggi
221,21000000.0,64333333.333333336,69.0,3.0,672.0,1.0,16083333.333333334,Tidak tertagih dengan resiko tinggi
222,14000000.0,56500000.0,106.0,5.0,458.0,2.0,28250000.0,Tertagih dengan resiko tinggi
223,19500000.0,69666666.66666667,72.0,5.0,500.0,1.0,17416666.666666668,Tidak tertagih dengan resiko tinggi
224,22500000.0,59500000.0,145.0,8.0,181.0,2.0,29750000.0,Tertagih dengan resiko tinggi
225,2600000.0,16666666.666666664,147.0,7.0,64.0,1.0,4166666.666666666,Tertagih dengan resiko rendah
226,13000000.0,68333333.33333333,27.0,1.0,328.0,1.0,17083333.333333332,Tidak tertagih dengan resiko tinggi
227,17500000.0,52500000.0,0.0,0.0,490.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
228,15500000.0,58500000.0,16.0,2.0,402.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
229,19500000.0,54166666.66666666,55.0,2.0,629.0,2.0,27083333.33333333,Tidak tertagih dengan resiko tinggi
230,24000000.0,66333333.333333336,53.0,2.0,371.0,1.0,16583333.333333334,Tidak tertagih dengan resiko tinggi
231,14700000.0,59333333.333333336,66.0,4.0,385.0,1.0,14833333.333333334,Tidak tertagih dengan resiko tinggi
232,200000.0,25000000.0,61.0,5.0,66.0,1.0,6250000.0,Tertagih dengan resiko rendah
233,16500000.0,63500000.0,58.0,3.0,501.0,2.0,31750000.0,Tertagih dengan resiko tinggi
234,17500000.0,63333333.333333336,66.0,3.0,244.0,1.0,15833333.333333334,Tidak tertagih dengan resiko tinggi
235,10500000.0,56333333.333333336,15.0,1.0,209.0,1.0,14083333.333333334,Tidak tertagih dengan resiko tinggi
236,12700000.0,51666666.66666666,8.0,1.0,306.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
237,10500000.0,52666666.66666666,84.0,8.0,259.0,2.0,26333333.33333333,Tertagih dengan resiko tinggi
238,25500000.0,137833333.33333334,174.0,9.0,278.0,3.0,103375000.0,Tidak tertagih dengan resiko rendah
239,15500000.0,74333333.33333331,123.0,7.0,137.0,2.0,37166666.66666666,Tertagih dengan resiko tinggi
240,13000000.0,60166666.66666666,0.0,0.0,400.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
241,13000000.0,59833333.333333336,48.0,2.0,461.0,1.0,14958333.333333334,Tidak tertagih dengan resiko tinggi
242,24000000.0,56166666.66666666,41.0,3.0,510.0,1.0,14041666.666666666,Tidak tertagih dengan resiko tinggi
243,21000000.0,49500000.0,16.0,1.0,421.0,1.0,12375000.0,Tidak tertagih dengan resiko tinggi
244,3560000.0,17500000.0,94.0,7.0,45.0,1.0,4375000.0,Tertagih dengan resiko rendah
245,22500000.0,67333333.33333333,110.0,8.0,186.0,2.0,33666666.666666664,Tertagih dengan resiko tinggi
246,18000000.0,62333333.333333336,73.0,6.0,263.0,1.0,15583333.333333334,Tidak tertagih dengan resiko tinggi
247,15500000.0,72666666.66666667,69.0,6.0,234.0,1.0,18166666.666666668,Tidak tertagih dengan resiko tinggi
248,5000000.0,62000000.0,23.0,2.0,256.0,1.0,15500000.0,Tidak tertagih dengan resiko tinggi
