,debtor_gender,age,debtor_education_level,debtor_martial_status,employment_type,number_of_dependents,net_income,payment_date,loan_amount,avg_amounts_previous_bills,avg_previous_payment,amount_of_late,late_payment_amount,credit_risk,credit_score,arrears_amounts,aset,loss_reverse,aging
20,Wanita,66,S2,Sudah menikah,Retired,4,14000000.0,2023-09-07,15750000.0,18000000,10600000,27,2,Tidak tertagih,424,1,4500000,15750000.0,DPK
21,Wanita,54,D2,Sudah menikah,Retired,5,10500000.0,2023-08-11,16291666.666666666,14500000,9750000,44,2,Tidak tertagih,380,1,8000000,16291666.666666666,DPK
22,Wanita,80,S1,Sudah menikah,Retired,2,13000000.0,2023-07-10,13833333.333333334,17000000,8800000,76,4,Tertagih,316,1,4500000,13833333.333333334,DPK
23,Wanita,63,S2,Sudah menikah,Retired,4,13000000.0,2023-03-30,12250000.0,14000000,13600000,39,2,Tertagih,488,1,9000000,12250000.0,DPK
24,Wanita,70,S2,Sudah menikah,Retired,3,23000000.0,2023-06-23,13916666.666666666,5000000,3700000,140,9,Tidak tertagih,156,2,6000000,27833333.33333333,Diragukan
25,Wanita,62,S2,Sudah menikah,Retired,3,13000000.0,2023-06-12,14916666.666666666,12500000,10650000,0,0,Tertagih,474,0,4500000,0.0,Lancar
26,Wanita,69,S1,Sudah menikah,Retired,4,18000000.0,2023-02-04,17333333.333333332,17000000,13400000,78,3,Tidak tertagih,104,2,9000000,34666666.666666664,DPK
27,Wanita,27,SMP,Sudah menikah,Internship,6,2600000.0,2023-07-20,5291666.666666667,5500000,5150000,56,6,Tidak tertagih,8,1,4000000,5291666.666666667,DPK
28,Pria,60,S1,Sudah menikah,Retired,3,13000000.0,2023-05-20,14666666.666666666,10500000,9250000,59,3,Tertagih,410,2,6000000,29333333.33333333,DPK
29,Pria,27,D1,Sudah menikah,Contract,4,5500000.0,2023-05-18,15291666.666666666,14000000,7300000,59,4,Tidak tertagih,365,1,6500000,15291666.666666666,DPK
30,Wanita,62,D3,Sudah menikah,Retired,4,10500000.0,2023-03-05,15458333.333333334,7500000,6650000,34,3,Tidak tertagih,346,1,6000000,15458333.333333334,DPK
31,Wanita,80,S1,Sudah menikah,Retired,3,18000000.0,2023-04-06,12583333.333333334,17000000,11500000,81,5,Tertagih,573,2,8000000,25166666.666666668,DPK
32,Pria,34,D1,Sudah menikah,Full-time,4,25500000.0,2023-04-05,35000000.0,33500000,27750000,140,8,Tidak tertagih,355,2,13000000,70000000.0,Diragukan
33,Pria,72,D3,Sudah menikah,Retired,3,10500000.0,2023-02-21,15750000.0,10000000,6900000,40,2,Tidak tertagih,325,1,5000000,15750000.0,DPK
34,Wanita,54,D3,Sudah menikah,Retired,3,15500000.0,2023-04-29,10875000.0,19500000,10050000,0,0,Tertagih,656,0,14500000,0.0,Lancar
35,Wanita,66,S1,Sudah menikah,Retired,2,13000000.0,2023-09-09,13791666.666666666,17500000,14850000,27,2,Tidak tertagih,326,1,8500000,13791666.666666666,DPK
36,Wanita,75,D3,Sudah menikah,Retired,3,10500000.0,2023-08-28,14750000.0,19500000,9950000,95,6,Tidak tertagih,288,1,4500000,14750000.0,Kurang lancar
37,Pria,47,S1,Sudah menikah,Self-employed,2,29000000.0,2023-03-26,34291666.666666664,36000000,26400000,59,3,Tertagih,229,2,8000000,68583333.33333333,DPK
38,Pria,51,D3,Sudah menikah,Retired,4,12500000.0,2023-05-17,15083333.333333334,6000000,4500000,19,1,Tertagih,369,1,6000000,15083333.333333334,DPK
39,Pria,20,SMA,Belum menikah,Contract,2,7700000.0,2023-03-11,14875000.0,18000000,10900000,74,4,Tertagih,450,2,5500000,29750000.0,DPK
40,Pria,72,S2,Sudah menikah,Retired,2,13000000.0,2023-07-02,15958333.333333334,4500000,2950000,16,3,Tidak tertagih,372,0,5500000,0.0,DPK
41,Wanita,19,SD,Belum menikah,Not-employed,2,2600000.0,2023-04-01,5041666.666666667,17500000,15950000,150,11,Tidak tertagih,17,3,15000000,15125000.0,Diragukan
42,Wanita,33,D3,Sudah menikah,Full-time,4,17500000.0,2023-09-22,16083333.333333334,13000000,8700000,186,8,Tidak tertagih,205,4,7000000,64333333.333333336,Macet
43,Pria,43,D1,Sudah menikah,Full-time,3,17500000.0,2023-09-08,22125000.0,8500000,4750000,15,1,Tertagih,619,1,15000000,22125000.0,DPK
44,Wanita,70,S1,Sudah menikah,Retired,2,18000000.0,2023-02-14,20083333.33333333,2500000,1550000,12,2,Tertagih,433,0,8000000,0.0,DPK
45,Pria,75,D3,Sudah menikah,Retired,4,10500000.0,2023-08-12,14916666.666666666,11000000,6500000,66,4,Tidak tertagih,356,1,8500000,14916666.666666666,DPK
46,Wanita,68,D3,Sudah menikah,Retired,5,15500000.0,2023-04-13,11791666.666666666,18500000,10850000,144,9,Tidak tertagih,154,2,12000000,23583333.33333333,Diragukan
47,Wanita,76,D3,Sudah menikah,Retired,3,15500000.0,2023-07-17,22958333.33333333,17500000,11850000,118,8,Tidak tertagih,117,1,6500000,22958333.33333333,Kurang lancar
48,Pria,24,SMA,Sudah menikah,Contract,5,8700000.0,2023-02-02,13833333.333333334,16500000,8950000,23,1,Tertagih,266,1,6500000,13833333.333333334,DPK
49,Wanita,61,S2,Sudah menikah,Retired,4,13000000.0,2023-02-18,13958333.333333334,4000000,2000000,0,0,Tidak tertagih,367,0,8500000,0.0,Lancar
50,Wanita,76,S1,Sudah menikah,Retired,2,13000000.0,2023-02-05,14125000.0,10500000,8550000,49,3,Tidak tertagih,306,1,5500000,14125000.0,DPK
51,Pria,25,SMA,Sudah menikah,Contract,5,9700000.0,2023-01-24,17125000.0,18500000,9750000,8,2,Tertagih,449,0,6000000,0.0,DPK
52,Wanita,65,D2,Sudah menikah,Retired,3,15500000.0,2023-09-06,13791666.666666666,25000000,15100000,29,2,Tertagih,559,1,19500000,13791666.666666666,DPK
53,Pria,19,SMA,Belum menikah,Contract,1,13700000.0,2023-04-22,12916666.666666666,16500000,11150000,28,2,Tertagih,340,1,6000000,12916666.666666666,DPK
54,Wanita,73,D1,Sudah menikah,Retired,5,10500000.0,2023-05-03,16041666.666666666,14500000,8650000,51,2,Tidak tertagih,348,1,9000000,16041666.666666666,DPK
55,Pria,21,SMA,Belum menikah,Contract,1,13700000.0,2023-08-09,14833333.333333334,6000000,5000000,24,2,Tertagih,477,1,8000000,14833333.333333334,DPK
56,Wanita,61,D3,Sudah menikah,Retired,3,15500000.0,2023-03-12,16583333.333333334,12000000,11300000,91,5,Tidak tertagih,156,3,8500000,49750000.0,Kurang lancar
57,Wanita,67,D1,Sudah menikah,Retired,3,10500000.0,2023-02-17,14041666.666666666,15000000,11400000,104,7,Tidak tertagih,376,3,8000000,42125000.0,Kurang lancar
58,Wanita,67,S2,Sudah menikah,Retired,4,18000000.0,2023-03-06,12291666.666666666,23000000,19600000,133,8,Tidak tertagih,104,4,8000000,49166666.66666666,Diragukan
59,Pria,43,S1,Sudah menikah,Self-employed,2,28000000.0,2023-03-08,33833333.333333336,35000000,25700000,9,2,Tertagih,649,0,17500000,0.0,DPK
60,Pria,64,S1,Sudah menikah,Retired,2,13000000.0,2023-02-05,16125000.0,8500000,6050000,55,5,Tidak tertagih,424,2,5000000,32250000.0,DPK
61,Pria,79,D1,Sudah menikah,Retired,5,10500000.0,2023-06-24,14083333.333333334,16000000,9900000,20,1,Tertagih,314,1,8000000,14083333.333333334,DPK
62,Pria,22,SMA,Belum menikah,Contract,1,9700000.0,2023-06-01,14208333.333333334,7000000,4200000,17,1,Tidak tertagih,433,1,7000000,14208333.333333334,DPK
63,Pria,34,S2,Sudah menikah,Full-time,3,19000000.0,2023-03-24,13541666.666666666,21000000,17500000,33,2,Tertagih,695,1,11500000,13541666.666666666,DPK
64,Wanita,57,D1,Sudah menikah,Retired,5,15500000.0,2023-02-20,17208333.333333332,27000000,25900000,126,6,Tidak tertagih,151,4,13500000,68833333.33333333,Diragukan
65,Pria,19,SMA,Belum menikah,Contract,1,10700000.0,2023-08-10,14541666.666666666,12000000,6500000,7,1,Tertagih,345,0,6000000,0.0,DPK
66,Wanita,53,S2,Sudah menikah,Retired,4,22000000.0,2023-07-05,17125000.0,22500000,20050000,144,8,Tidak tertagih,210,1,6000000,17125000.0,Diragukan
67,Wanita,62,D3,Sudah menikah,Retired,4,15500000.0,2023-08-24,15375000.0,21500000,19050000,203,10,Tidak tertagih,298,6,4500000,92250000.0,Macet
68,Pria,41,S1,Sudah menikah,Full-time,4,20000000.0,2023-06-09,16416666.666666666,2000000,1300000,128,8,Tidak tertagih,229,2,9500000,32833333.33333333,Diragukan
69,Pria,44,S2,Sudah menikah,Full-time,2,28000000.0,2023-01-12,33750000.0,35500000,29750000,34,2,Tertagih,486,1,10500000,33750000.0,DPK
70,Pria,28,SMA,Sudah menikah,Contract,6,13700000.0,2023-03-20,15000000.0,6500000,5750000,107,4,Tertagih,444,1,7000000,15000000.0,Kurang lancar
71,Wanita,74,D3,Sudah menikah,Retired,4,10500000.0,2023-03-25,14791666.666666666,15500000,12650000,97,4,Tertagih,372,1,5000000,14791666.666666666,Kurang lancar
72,Wanita,19,SMP,Belum menikah,Part-time,2,200000.0,2023-02-20,5833333.333333333,13000000,7100000,160,9,Tidak tertagih,64,5,9000000,29166666.666666664,Diragukan
73,Pria,33,D2,Sudah menikah,Full-time,4,22500000.0,2023-09-11,16833333.333333332,8000000,6200000,93,7,Tidak tertagih,188,1,6500000,16833333.333333332,Kurang lancar
74,Pria,40,S1,Sudah menikah,Full-time,4,24000000.0,2023-03-31,18458333.33333333,21000000,15300000,83,6,Tidak tertagih,242,1,5000000,18458333.33333333,DPK
75,Wanita,60,S1,Sudah menikah,Retired,2,18000000.0,2023-02-17,16291666.666666666,4500000,4050000,3,1,Tertagih,691,0,13000000,0.0,DPK
76,Pria,48,D1,Sudah menikah,Full-time,4,17500000.0,2023-09-09,13916666.666666666,2000000,1000000,103,6,Tidak tertagih,299,2,4500000,27833333.33333333,Kurang lancar
77,Pria,25,SMP,Sudah menikah,Internship,5,200000.0,2023-06-14,5625000.0,10000000,7000000,93,5,Tidak tertagih,37,2,17500000,11250000.0,Kurang lancar
78,Pria,30,D1,Sudah menikah,Full-time,3,16500000.0,2023-07-02,16000000.0,15500000,10850000,38,2,Tertagih,657,1,13500000,16000000.0,DPK
79,Pria,34,S1,Sudah menikah,Full-time,2,21000000.0,2023-06-28,16166666.666666666,21500000,11750000,22,3,Tertagih,440,0,9500000,0.0,DPK
80,Pria,32,D1,Sudah menikah,Full-time,4,25500000.0,2023-02-24,35041666.666666664,32500000,27050000,134,9,Tidak tertagih,158,2,4000000,70083333.33333333,Diragukan
81,Wanita,52,D3,Sudah menikah,Retired,4,15500000.0,2023-01-24,14708333.333333334,22500000,13250000,163,8,Tidak tertagih,253,3,8000000,44125000.0,Diragukan
82,Pria,47,S1,Sudah menikah,Full-time,3,24000000.0,2023-06-27,15083333.333333334,2000000,1700000,117,6,Tertagih,545,2,11000000,30166666.666666668,Kurang lancar
83,Pria,36,D3,Sudah menikah,Full-time,3,22500000.0,2023-09-18,11458333.333333334,17000000,13100000,0,0,Tertagih,481,0,7000000,0.0,Lancar
84,Pria,30,SMA,Sudah menikah,Contract,6,14700000.0,2023-09-11,15041666.666666666,16500000,9350000,21,1,Tertagih,268,1,13000000,15041666.666666666,DPK
85,Wanita,61,D3,Sudah menikah,Retired,5,10500000.0,2023-08-20,14916666.666666666,18000000,14100000,14,1,Tidak tertagih,244,0,9000000,0.0,DPK
86,Wanita,68,D3,Sudah menikah,Retired,4,10500000.0,2023-02-25,14583333.333333334,10500000,6750000,12,1,Tidak tertagih,357,0,5500000,0.0,DPK
87,Wanita,52,S3,Sudah menikah,Retired,4,18000000.0,2023-05-21,16000000.0,25500000,24650000,83,6,Tidak tertagih,245,2,8500000,32000000.0,DPK
88,Pria,49,D1,Sudah menikah,Self-employed,5,25500000.0,2023-05-30,34625000.0,34500000,24750000,157,10,Tidak tertagih,221,2,7000000,69250000.0,Diragukan
89,Wanita,56,D1,Sudah menikah,Retired,5,19500000.0,2023-05-22,16000000.0,5000000,4500000,94,5,Tidak tertagih,215,2,8500000,32000000.0,Kurang lancar
90,Pria,73,D3,Sudah menikah,Retired,4,10500000.0,2023-02-18,15000000.0,8500000,5750000,4,1,Tidak tertagih,253,0,6000000,0.0,DPK
91,Pria,43,S1,Sudah menikah,Full-time,3,19000000.0,2023-06-04,16583333.333333334,24500000,16450000,86,5,Tertagih,552,2,9500000,33166666.666666668,DPK
92,Pria,72,D3,Sudah menikah,Retired,5,10500000.0,2023-03-01,16041666.666666666,19500000,10550000,5,1,Tidak tertagih,396,0,10000000,0.0,DPK
93,Pria,25,D1,Sudah menikah,Contract,4,10500000.0,2023-02-26,14708333.333333334,5500000,4350000,47,2,Tertagih,404,1,9000000,14708333.333333334,DPK
94,Wanita,20,SMA,Belum menikah,Contract,1,12700000.0,2023-06-10,14916666.666666666,4500000,4350000,130,7,Tertagih,457,4,5500000,59666666.66666666,Diragukan
95,Wanita,53,S1,Sudah menikah,Retired,4,13000000.0,2023-03-14,14958333.333333334,6000000,5100000,33,2,Tertagih,361,1,9000000,14958333.333333334,DPK
96,Pria,41,D3,Sudah menikah,Full-time,4,22500000.0,2023-02-03,16750000.0,18500000,15850000,71,6,Tidak tertagih,273,1,6000000,16750000.0,DPK
97,Pria,31,SMA,Sudah menikah,Contract,5,9700000.0,2023-03-06,15166666.666666666,14500000,14150000,0,0,Tidak tertagih,318,0,4000000,0.0,Lancar
98,Wanita,57,S2,Sudah menikah,Retired,4,18000000.0,2023-08-19,14583333.333333334,28500000,19150000,137,6,Tidak tertagih,163,2,5500000,29166666.666666668,Diragukan
99,Pria,19,SMA,Belum menikah,Contract,1,14700000.0,2023-02-24,13416666.666666666,16500000,13050000,45,3,Tidak tertagih,348,1,7500000,13416666.666666666,DPK
100,Pria,19,SMA,Belum menikah,Not-employed,1,4700000.0,2023-04-02,5416666.666666667,17500000,13650000,130,9,Tidak tertagih,65,2,9000000,10833333.333333334,Diragukan
101,Wanita,58,S3,Sudah menikah,Retired,3,23000000.0,2023-07-04,19583333.33333333,6000000,3700000,83,4,Tertagih,614,2,5500000,39166666.66666666,DPK
102,Pria,34,D1,Sudah menikah,Full-time,3,17500000.0,2023-02-21,11875000.0,16500000,12150000,17,1,Tertagih,515,1,8500000,11875000.0,DPK
103,Wanita,67,S1,Sudah menikah,Retired,4,13000000.0,2023-07-25,14625000.0,6500000,5550000,46,2,Tidak tertagih,471,1,8500000,14625000.0,DPK
104,Pria,53,S1,Sudah menikah,Retired,4,13000000.0,2023-02-14,13625000.0,11500000,9750000,109,6,Tidak tertagih,485,2,6000000,27250000.0,Kurang lancar
105,Wanita,80,S2,Sudah menikah,Retired,3,18000000.0,2023-08-29,13250000.0,2500000,1950000,59,3,Tertagih,670,1,8000000,13250000.0,DPK
106,Wanita,67,S1,Sudah menikah,Retired,4,18000000.0,2023-01-09,18583333.33333333,12500000,6550000,88,7,Tidak tertagih,196,1,12500000,18583333.33333333,DPK
107,Pria,30,SMA,Sudah menikah,Contract,5,6700000.0,2023-01-04,14416666.666666666,17000000,9100000,38,4,Tertagih,275,1,10000000,14416666.666666666,DPK
108,Pria,35,D3,Sudah menikah,Full-time,3,17500000.0,2023-09-20,15250000.0,4500000,3650000,84,5,Tidak tertagih,194,2,9000000,30500000.0,DPK
109,Pria,59,D1,Sudah menikah,Retired,3,10500000.0,2023-01-31,15125000.0,12000000,10100000,29,2,Tidak tertagih,261,1,3500000,15125000.0,DPK
110,Pria,47,S1,Sudah menikah,Full-time,3,24000000.0,2023-06-12,12541666.666666666,26500000,18750000,4,1,Tertagih,633,0,8000000,0.0,DPK
111,Pria,23,D1,Sudah menikah,Contract,0,7500000.0,2023-08-25,14083333.333333334,11000000,6100000,108,7,Tidak tertagih,316,1,12500000,14083333.333333334,Kurang lancar
112,Wanita,56,D3,Sudah menikah,Retired,3,15500000.0,2023-08-05,14333333.333333334,3000000,2200000,46,3,Tertagih,665,1,8000000,14333333.333333334,DPK
113,Pria,36,D3,Sudah menikah,Full-time,4,17500000.0,2023-02-07,17000000.0,25000000,18600000,133,7,Tidak tertagih,259,2,10000000,34000000.0,Diragukan
114,Pria,31,D1,Sudah menikah,Full-time,3,21500000.0,2023-03-25,18625000.0,22000000,16500000,18,2,Tertagih,641,1,14500000,18625000.0,DPK
115,Wanita,77,D3,Sudah menikah,Retired,5,15500000.0,2023-06-27,18916666.666666668,1000000,900000,123,6,Tidak tertagih,209,3,18500000,56750000.0,Diragukan
116,Wanita,77,D3,Sudah menikah,Retired,4,15500000.0,2023-08-02,13666666.666666666,13500000,11850000,152,8,Tidak tertagih,200,2,4500000,27333333.33333333,Diragukan
117,Pria,30,D1,Sudah menikah,Full-time,3,21500000.0,2023-03-24,18125000.0,13500000,13450000,77,6,Tidak tertagih,271,2,3500000,36250000.0,DPK
118,Pria,20,SMA,Belum menikah,Part-time,0,4700000.0,2023-02-11,5416666.666666667,13500000,10550000,85,5,Tidak tertagih,92,2,9000000,10833333.333333334,DPK
119,Pria,46,S1,Sudah menikah,Full-time,3,22000000.0,2023-08-08,21625000.0,4000000,2700000,52,4,Tertagih,631,1,22500000,21625000.0,DPK
120,Pria,33,D3,Sudah menikah,Full-time,4,25500000.0,2023-03-12,36291666.66666666,37000000,24800000,94,8,Tidak tertagih,373,1,17500000,36291666.66666666,Kurang lancar
121,Pria,43,S1,Sudah menikah,Full-time,3,28000000.0,2023-08-12,35416666.666666664,37500000,22050000,39,2,Tertagih,605,1,10000000,35416666.666666664,DPK
122,Wanita,79,S1,Sudah menikah,Retired,4,18000000.0,2023-02-13,16041666.666666666,15000000,9100000,118,7,Tidak tertagih,158,1,10500000,16041666.666666666,Kurang lancar
123,Wanita,51,S1,Sudah menikah,Retired,2,18000000.0,2023-07-27,18250000.0,10000000,5800000,41,3,Tertagih,535,1,9000000,18250000.0,DPK
124,Wanita,60,D1,Sudah menikah,Retired,3,15500000.0,2023-03-11,17458333.333333332,29500000,20750000,13,2,Tertagih,426,0,8500000,0.0,DPK
125,Wanita,37,D1,Sudah menikah,Full-time,3,24500000.0,2023-03-08,16208333.333333334,9500000,8950000,148,8,Tidak tertagih,184,3,12500000,48625000.0,Diragukan
126,Wanita,20,SMP,Belum menikah,Not-employed,1,4040000.0,2023-01-10,4375000.0,10000000,6500000,85,7,Tidak tertagih,60,1,5500000,4375000.0,DPK
127,Pria,46,D2,Sudah menikah,Full-time,4,17500000.0,2023-02-07,15041666.666666666,21500000,12050000,112,8,Tidak tertagih,275,2,16000000,30083333.33333333,Kurang lancar
128,Pria,32,D3,Sudah menikah,Full-time,3,22500000.0,2023-02-20,15250000.0,7500000,4450000,83,5,Tertagih,491,2,9500000,30500000.0,DPK
129,Wanita,80,S1,Sudah menikah,Retired,2,18000000.0,2023-05-28,13541666.666666666,9500000,9150000,92,6,Tidak tertagih,262,1,8000000,13541666.666666666,Kurang lancar
130,Wanita,63,S2,Sudah menikah,Retired,3,18000000.0,2023-02-22,11125000.0,16500000,8650000,122,6,Tidak tertagih,162,2,9000000,22250000.0,Diragukan
131,Pria,21,SMA,Belum menikah,Contract,1,10700000.0,2023-05-29,14541666.666666666,16000000,13900000,42,2,Tertagih,312,1,4500000,14541666.666666666,DPK
132,Wanita,69,D2,Sudah menikah,Retired,5,15500000.0,2023-02-27,18166666.666666668,18500000,11850000,77,5,Tidak tertagih,184,2,5000000,36333333.333333336,DPK
133,Wanita,59,D2,Sudah menikah,Retired,4,10500000.0,2023-02-10,14375000.0,6500000,3250000,22,2,Tidak tertagih,271,1,8500000,14375000.0,DPK
134,Wanita,80,D1,Sudah menikah,Retired,3,15500000.0,2023-07-13,11208333.333333334,2000000,1500000,50,4,Tertagih,667,1,8500000,11208333.333333334,DPK
135,Wanita,62,S1,Sudah menikah,Retired,3,17000000.0,2023-08-02,15750000.0,6500000,6250000,30,2,Tertagih,683,1,9000000,15750000.0,DPK
136,Wanita,67,S1,Sudah menikah,Retired,3,18000000.0,2023-08-26,16041666.666666666,3000000,2700000,132,8,Tidak tertagih,213,3,17500000,48125000.0,Diragukan
137,Pria,49,D1,Sudah menikah,Full-time,5,22500000.0,2023-01-30,13750000.0,7500000,4950000,164,10,Tidak tertagih,268,2,7500000,27500000.0,Diragukan
138,Wanita,67,S2,Sudah menikah,Retired,3,18000000.0,2023-02-08,15666666.666666666,24500000,18450000,45,3,Tertagih,403,1,4500000,15666666.666666666,DPK
139,Wanita,20,SMP,Belum menikah,Part-time,1,200000.0,2023-07-17,5375000.0,1500000,1450000,115,8,Tidak tertagih,45,1,15500000,5375000.0,Kurang lancar
140,Pria,42,S3,Sudah menikah,Contract,2,21000000.0,2023-04-21,16458333.333333334,9000000,7100000,65,3,Tertagih,500,1,13000000,16458333.333333334,DPK
141,Pria,21,SMA,Belum menikah,Contract,1,6700000.0,2023-06-30,14208333.333333334,18000000,11800000,0,0,Tidak tertagih,434,0,14500000,0.0,Lancar
142,Pria,37,D3,Sudah menikah,Contract,4,17500000.0,2023-04-09,16208333.333333334,1500000,1250000,130,7,Tidak tertagih,105,2,4500000,32416666.666666668,Diragukan
143,Pria,24,SMA,Sudah menikah,Contract,6,10700000.0,2023-06-17,14000000.0,15500000,11050000,0,0,Tertagih,349,0,6000000,0.0,Lancar
144,Wanita,43,D3,Sudah menikah,Full-time,4,22500000.0,2023-02-06,14375000.0,3000000,1800000,116,7,Tidak tertagih,147,4,8000000,57500000.0,Kurang lancar
145,Pria,30,D1,Sudah menikah,Self-employed,3,26500000.0,2023-05-03,33875000.0,38500000,30650000,23,2,Tertagih,581,0,5000000,0.0,DPK
146,Pria,42,S2,Sudah menikah,Full-time,2,21000000.0,2023-06-24,18541666.666666668,23500000,20650000,75,9,Tidak tertagih,293,1,17500000,18541666.666666668,DPK
147,Wanita,70,S1,Sudah menikah,Retired,3,13000000.0,2023-03-23,13125000.0,13500000,11550000,32,3,Tidak tertagih,325,1,9500000,13125000.0,DPK
148,Pria,19,SMA,Belum menikah,Contract,1,9700000.0,2023-09-04,14166666.666666666,8500000,4850000,82,7,Tidak tertagih,330,1,9000000,14166666.666666666,DPK
149,Wanita,57,S1,Sudah menikah,Retired,4,21000000.0,2023-06-19,16458333.333333334,23500000,20550000,140,8,Tidak tertagih,298,1,7000000,16458333.333333334,Diragukan
150,Pria,56,S2,Sudah menikah,Retired,4,13000000.0,2023-07-01,15125000.0,10500000,7050000,42,3,Tidak tertagih,311,1,8000000,15125000.0,DPK
151,Wanita,73,D3,Sudah menikah,Retired,3,15500000.0,2023-02-14,17500000.0,7000000,6400000,5,1,Tertagih,616,0,6000000,0.0,DPK
152,Wanita,79,D3,Sudah menikah,Retired,4,10500000.0,2023-02-03,14375000.0,18500000,17750000,28,2,Tertagih,358,0,18000000,0.0,DPK
153,Wanita,79,D3,Sudah menikah,Retired,4,15500000.0,2023-02-19,16875000.0,10000000,9400000,93,6,Tidak tertagih,193,2,7500000,33750000.0,Kurang lancar
154,Wanita,78,D3,Sudah menikah,Retired,4,10500000.0,2023-05-16,14250000.0,15500000,11650000,132,7,Tidak tertagih,287,3,4000000,42750000.0,Diragukan
155,Pria,50,D2,Sudah menikah,Retired,5,17500000.0,2023-03-30,13041666.666666666,7000000,5200000,114,6,Tidak tertagih,278,2,5000000,26083333.33333333,Kurang lancar
156,Wanita,67,S3,Sudah menikah,Retired,4,18000000.0,2023-04-03,16500000.0,12000000,9800000,112,9,Tidak tertagih,157,2,7000000,33000000.0,Kurang lancar
157,Wanita,51,S2,Sudah menikah,Retired,3,17000000.0,2023-05-23,20375000.0,23500000,15550000,68,7,Tidak tertagih,208,1,8000000,20375000.0,DPK
158,Pria,40,S3,Sudah menikah,Full-time,4,19000000.0,2023-02-12,11458333.333333334,16500000,8950000,69,5,Tertagih,398,1,4000000,11458333.333333334,DPK
159,Pria,23,SMA,Sudah menikah,Contract,1,8700000.0,2023-03-14,14458333.333333334,7000000,3700000,36,2,Tertagih,370,1,7500000,14458333.333333334,DPK
