,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,negotiation_skills,collector_experience
98,16,datang ke tempat,56,220000000,1933000000,275696334,11.0,Buruk,0
99,7,surat panggilan,32,91000000,184500000,2319489,49.0,Buruk,0
100,27,datang ke tempat,36,242000000,262500000,89568697,92.0,Cukup baik,2
101,22,datang ke tempat,69,738000000,1959000000,395381273,38.0,Buruk,0
102,19,datang ke tempat,34,540000000,720500000,65536394,75.0,Cukup baik,2
103,12,panggilan,43,318000000,467500000,8888626,68.0,Baik,4
104,16,datang ke tempat,57,1086000000,1468500000,536234794,74.0,Cukup baik,2
105,0,sms or WA,16,23800000,98900000,269192,24.0,Buruk,0
106,11,panggilan,46,383000000,866000000,82370808,44.0,Buruk,0
107,28,datang ke tempat,31,136000000,1047500000,134074505,13.0,Buruk,0
108,9,surat panggilan,31,241500000,392500000,2295223,62.0,Baik,4
109,6,surat panggilan,37,112500000,550000000,3252387,20.0,Buruk,0
110,13,panggilan,40,353000000,474000000,26662819,74.0,Baik,4
111,0,sms or WA,12,46100000,100900000,621105,46.0,Baik,4
112,18,datang ke tempat,62,156000000,430000000,501324583,36.0,Buruk,0
113,27,datang ke tempat,50,674000000,1663000000,140760583,41.0,Cukup baik,2
114,6,surat panggilan,36,285500000,471000000,2788004,61.0,Baik,4
115,5,sms or WA,17,18500000,28900000,341553,64.0,Baik,4
116,5,sms or WA,14,6500000,73900000,238815,9.0,Buruk,0
117,8,surat panggilan,23,64500000,75000000,2233173,86.0,Baik,4
118,28,datang ke tempat,66,208000000,738000000,199189900,28.000000000000004,Buruk,0
119,20,datang ke tempat,44,218000000,701500000,400665394,31.0,Buruk,0
120,1,sms or WA,1,3300000,4400000,57004,75.0,Baik,4
121,28,datang ke tempat,50,584000000,1099000000,121010053,53.0,Cukup baik,2
122,14,panggilan,44,737000000,745000000,17538151,99.0,Baik,4
123,27,datang ke tempat,43,93500000,93500000,397406015,100.0,Cukup baik,2
124,6,surat panggilan,34,84500000,139000000,1903226,61.0,Baik,4
125,3,sms or WA,7,4500000,12100000,108930,37.0,Buruk,0
126,7,surat panggilan,36,30500000,315000000,3100782,10.0,Buruk,0
127,17,datang ke tempat,32,734000000,941500000,283894818,78.0,Cukup baik,2
128,14,panggilan,37,258000000,355500000,40726437,73.0,Baik,4
129,1,sms or WA,13,78000000,108500000,347334,72.0,Baik,4
130,10,surat panggilan,21,23000000,45000000,1715108,51.0,Buruk,0
131,2,sms or WA,4,22100000,27600000,145520,80.0,Baik,4
132,23,datang ke tempat,69,171000000,171000000,626799344,100.0,Cukup baik,2
133,21,datang ke tempat,56,666000000,680500000,446764306,98.0,Cukup baik,2
134,20,datang ke tempat,38,518000000,550000000,194161659,94.0,Cukup baik,2
135,15,panggilan,32,43000000,99000000,38169823,43.0,Buruk,0
136,5,sms or WA,9,9600000,53000000,493791,18.0,Buruk,0
137,27,datang ke tempat,36,222000000,364500000,251214787,61.0,Cukup baik,2
138,0,sms or WA,8,50900000,51400000,319558,99.0,Baik,4
139,28,datang ke tempat,67,1152000000,1695500000,458908039,68.0,Cukup baik,2
140,15,panggilan,39,285000000,379500000,22256529,75.0,Baik,4
141,6,surat panggilan,37,40000000,447500000,2830966,9.0,Buruk,0
142,26,datang ke tempat,50,742000000,1624000000,266070826,46.0,Cukup baik,2
143,11,panggilan,39,260000000,292500000,35297838,89.0,Baik,4
144,13,panggilan,39,256000000,275500000,46369246,93.0,Baik,4
145,26,datang ke tempat,30,122000000,133500000,227709321,91.0,Cukup baik,2
146,8,surat panggilan,33,34000000,438000000,2386554,8.0,Buruk,0
147,16,datang ke tempat,60,766000000,1149000000,69085094,67.0,Cukup baik,2
148,2,sms or WA,10,31100000,46400000,108769,67.0,Baik,4
149,17,datang ke tempat,69,904000000,2002500000,673875398,45.0,Cukup baik,2
150,15,panggilan,32,133000000,254000000,29775098,52.0,Buruk,0
151,4,sms or WA,15,12300000,36400000,719890,34.0,Buruk,0
152,25,datang ke tempat,66,314000000,598500000,484525853,52.0,Cukup baik,2
153,14,panggilan,37,243000000,400500000,35596787,61.0,Baik,4
154,0,sms or WA,18,14100000,17700000,623697,80.0,Baik,4
155,0,sms or WA,5,33600000,45300000,238560,74.0,Baik,4
156,21,datang ke tempat,33,520000000,937500000,336090358,55.00000000000001,Cukup baik,2
157,10,surat panggilan,24,174000000,353500000,2027587,49.0,Buruk,0
158,18,datang ke tempat,49,138000000,336500000,394644967,41.0,Cukup baik,2
159,17,datang ke tempat,59,1228000000,1625500000,249362989,76.0,Cukup baik,2
160,25,datang ke tempat,36,294000000,531000000,240140271,55.00000000000001,Cukup baik,2
161,15,panggilan,49,107000000,132500000,84801625,81.0,Baik,4
162,4,sms or WA,3,5800000,7600000,57973,76.0,Baik,4
163,17,datang ke tempat,52,478000000,1667000000,343231701,29.0,Buruk,0
164,1,sms or WA,12,15500000,115500000,183034,13.0,Buruk,0
165,22,datang ke tempat,33,438000000,850500000,56533328,51.0,Cukup baik,2
166,22,datang ke tempat,46,160000000,963500000,136409666,17.0,Buruk,0
167,22,datang ke tempat,60,778000000,1318500000,600416960,59.0,Cukup baik,2
168,13,panggilan,45,517000000,609500000,75167794,85.0,Baik,4
169,7,surat panggilan,22,91500000,229000000,1353702,40.0,Buruk,0
170,6,surat panggilan,35,162500000,223500000,1864719,73.0,Baik,4
171,20,datang ke tempat,45,182000000,1272000000,148797268,14.000000000000002,Buruk,0
172,15,panggilan,35,84000000,92500000,51815711,91.0,Baik,4
173,11,panggilan,47,121000000,612500000,49950851,20.0,Buruk,0
174,28,datang ke tempat,34,808000000,1134500000,123103228,71.0,Cukup baik,2
175,6,surat panggilan,32,107000000,148500000,3005265,72.0,Baik,4
176,5,sms or WA,13,60500000,81800000,462570,74.0,Baik,4
177,22,datang ke tempat,47,162000000,329500000,157121563,49.0,Cukup baik,2
178,9,surat panggilan,28,53500000,54500000,2739205,98.0,Baik,4
179,0,sms or WA,9,17900000,63300000,392095,28.000000000000004,Buruk,0
180,12,panggilan,30,296000000,414000000,14993090,71.0,Baik,4
181,29,datang ke tempat,39,1212000000,1234500000,309317343,98.0,Cukup baik,2
182,1,sms or WA,6,21400000,44800000,338581,48.0,Baik,4
183,7,surat panggilan,25,265500000,275000000,2167094,97.0,Baik,4
184,8,surat panggilan,21,60000000,253500000,1536865,24.0,Buruk,0
185,8,surat panggilan,35,176500000,404000000,3561119,44.0,Buruk,0
186,24,datang ke tempat,46,144000000,525500000,308530587,27.0,Buruk,0
187,22,datang ke tempat,63,334000000,1006500000,124444383,33.0,Buruk,0
188,5,sms or WA,14,75600000,85100000,200545,89.0,Baik,4
189,4,sms or WA,3,2300000,2400000,105047,96.0,Baik,4
190,13,panggilan,47,357000000,387500000,28828874,92.0,Baik,4
191,12,panggilan,48,61000000,156000000,24862923,39.0,Buruk,0
192,28,datang ke tempat,66,690000000,1495500000,421986237,46.0,Cukup baik,2
193,4,sms or WA,17,56200000,124100000,739938,45.0,Buruk,0
194,11,panggilan,43,508000000,726500000,46302373,70.0,Baik,4
195,22,datang ke tempat,44,176000000,1474000000,154502194,12.0,Buruk,0
196,25,datang ke tempat,47,96000000,1219000000,97836583,8.0,Buruk,0
197,13,panggilan,32,193000000,293000000,37912882,66.0,Baik,4
198,21,datang ke tempat,39,115500000,115500000,326882426,100.0,Cukup baik,2
199,28,datang ke tempat,56,172000000,862000000,298335605,20.0,Buruk,0
200,22,datang ke tempat,57,1162000000,1617000000,234115147,72.0,Cukup baik,2
201,12,panggilan,38,76000000,339000000,71502763,22.0,Buruk,0
202,19,datang ke tempat,68,904000000,1708000000,293568427,53.0,Cukup baik,2
203,2,sms or WA,15,17700000,40000000,180538,44.0,Buruk,0
204,14,panggilan,38,298000000,614000000,25446637,49.0,Buruk,0
205,1,sms or WA,1,400000,6400000,49971,6.0,Buruk,0
206,27,datang ke tempat,54,456000000,894000000,439241731,51.0,Cukup baik,2
207,11,panggilan,33,564000000,646500000,51181323,87.0,Baik,4
208,13,panggilan,32,339000000,587000000,29119168,57.99999999999999,Buruk,0
209,18,datang ke tempat,43,602000000,863000000,113942096,70.0,Cukup baik,2
210,5,sms or WA,12,28700000,109200000,209656,26.0,Buruk,0
211,4,sms or WA,16,13100000,94100000,177586,14.000000000000002,Buruk,0
212,14,panggilan,33,43000000,427500000,20097727,10.0,Buruk,0
213,3,sms or WA,19,127100000,184200000,709601,69.0,Baik,4
214,11,panggilan,34,120000000,176000000,44444237,68.0,Baik,4
215,4,sms or WA,14,16200000,32800000,198467,49.0,Baik,4
216,21,datang ke tempat,64,178000000,207500000,85899723,86.0,Cukup baik,2
217,3,sms or WA,8,17400000,44500000,213799,39.0,Buruk,0
218,16,datang ke tempat,35,166000000,172000000,340709337,97.0,Cukup baik,2
219,12,panggilan,38,418000000,502000000,25304479,83.0,Baik,4
220,22,datang ke tempat,44,362000000,515500000,419539962,70.0,Cukup baik,2
221,1,sms or WA,5,28400000,32200000,186555,88.0,Baik,4
222,12,panggilan,34,100000000,139000000,69658970,72.0,Baik,4
223,3,sms or WA,18,21400000,25000000,915124,86.0,Baik,4
224,1,sms or WA,6,13800000,45600000,331249,30.0,Buruk,0
225,25,datang ke tempat,34,828000000,861500000,89351594,96.0,Cukup baik,2
226,21,datang ke tempat,33,164000000,295500000,77421643,55.00000000000001,Cukup baik,2
227,1,sms or WA,11,31900000,57100000,194196,56.00000000000001,Baik,4
228,24,datang ke tempat,42,176000000,951000000,243128661,19.0,Buruk,0
229,17,datang ke tempat,44,174000000,1090000000,210023035,16.0,Buruk,0
230,21,datang ke tempat,53,1178000000,1229500000,471862956,96.0,Cukup baik,2
231,14,panggilan,36,213000000,638000000,71961662,33.0,Buruk,0
232,16,datang ke tempat,61,480000000,1857500000,378729038,26.0,Buruk,0
233,5,sms or WA,6,14900000,57400000,169079,26.0,Buruk,0
234,14,panggilan,43,110000000,114500000,77746682,96.0,Baik,4
235,18,datang ke tempat,64,498000000,627500000,125038707,79.0,Cukup baik,2
236,22,datang ke tempat,40,1152000000,1187000000,279637031,97.0,Cukup baik,2
237,3,sms or WA,1,5100000,5600000,25263,91.0,Baik,4
238,4,sms or WA,5,13700000,25000000,65827,55.00000000000001,Baik,4
239,4,sms or WA,13,27500000,59800000,359661,46.0,Baik,4
240,20,datang ke tempat,50,418000000,737500000,155148997,56.99999999999999,Cukup baik,2
241,23,datang ke tempat,48,366000000,1506000000,304195587,24.0,Buruk,0
242,24,datang ke tempat,68,340000000,475000000,321813413,72.0,Cukup baik,2
243,2,sms or WA,6,4100000,44200000,223255,9.0,Buruk,0
244,12,panggilan,48,373000000,722000000,42527200,52.0,Buruk,0
245,9,surat panggilan,33,91500000,124500000,2842277,73.0,Baik,4
246,6,surat panggilan,30,172000000,439500000,2455746,39.0,Buruk,0
247,11,panggilan,40,155000000,605000000,74468204,26.0,Buruk,0
248,26,datang ke tempat,55,1056000000,1311500000,169000933,81.0,Cukup baik,2
249,23,datang ke tempat,63,272000000,537000000,599427007,51.0,Cukup baik,2
250,12,panggilan,45,217000000,295500000,63480431,73.0,Baik,4
251,23,datang ke tempat,38,792000000,1000000000,234436865,79.0,Cukup baik,2
252,0,sms or WA,1,800000,900000,54495,89.0,Baik,4
253,9,surat panggilan,25,111000000,151500000,2194529,73.0,Baik,4
254,17,datang ke tempat,42,414000000,675000000,144105929,61.0,Cukup baik,2
255,3,sms or WA,17,22200000,105900000,758953,21.0,Buruk,0
256,10,surat panggilan,38,51500000,305000000,2797874,17.0,Buruk,0
257,2,sms or WA,18,52800000,92300000,928619,56.99999999999999,Buruk,0
258,5,sms or WA,7,4300000,21900000,325147,20.0,Buruk,0
259,24,datang ke tempat,45,680000000,919500000,195402827,74.0,Cukup baik,2
260,10,surat panggilan,23,206500000,291000000,1529546,71.0,Baik,4
261,23,datang ke tempat,59,244000000,244000000,239739106,100.0,Cukup baik,2
262,25,datang ke tempat,56,1484000000,1556500000,506156689,95.0,Cukup baik,2
263,27,datang ke tempat,65,1844000000,2045500000,568229744,90.0,Cukup baik,2
264,7,surat panggilan,32,19500000,184000000,3049918,11.0,Buruk,0
265,21,datang ke tempat,63,128000000,1831500000,326114185,7.000000000000001,Buruk,0
266,7,surat panggilan,24,20500000,116000000,1622677,18.0,Buruk,0
267,29,datang ke tempat,39,532000000,1149000000,201845820,46.0,Cukup baik,2
268,28,datang ke tempat,30,458000000,697500000,156417221,66.0,Cukup baik,2
269,18,datang ke tempat,57,238000000,1486500000,576813587,16.0,Buruk,0
270,23,datang ke tempat,48,322000000,778500000,298943297,41.0,Cukup baik,2
271,27,datang ke tempat,44,560000000,980500000,221480193,56.99999999999999,Cukup baik,2
272,6,surat panggilan,34,79000000,186000000,2297628,42.0,Buruk,0
273,16,datang ke tempat,40,256000000,702500000,103280481,36.0,Buruk,0
274,0,sms or WA,9,4400000,7300000,225281,60.0,Baik,4
275,24,datang ke tempat,64,1018000000,1400000000,166096840,73.0,Cukup baik,2
276,5,sms or WA,12,99800000,111200000,222104,90.0,Baik,4
277,5,sms or WA,9,29000000,73700000,207884,39.0,Buruk,0
278,16,datang ke tempat,36,690000000,1242000000,152251902,56.00000000000001,Cukup baik,2
279,0,sms or WA,11,13500000,26800000,214607,50.0,Baik,4
280,9,surat panggilan,39,211000000,516500000,2380720,41.0,Buruk,0
281,6,surat panggilan,25,53500000,106500000,1801484,50.0,Buruk,0
282,12,panggilan,41,69000000,116500000,51923150,59.0,Buruk,0
283,29,datang ke tempat,32,284000000,562000000,188292634,51.0,Cukup baik,2
284,15,panggilan,45,645000000,743500000,89097483,87.0,Baik,4
285,26,datang ke tempat,32,240000000,571000000,202558903,42.0,Cukup baik,2
286,14,panggilan,43,538000000,584500000,73794685,92.0,Baik,4
287,19,datang ke tempat,37,430000000,699500000,91120025,61.0,Cukup baik,2
288,13,panggilan,36,666000000,714000000,47015886,93.0,Baik,4
289,27,datang ke tempat,64,190000000,344000000,649874066,55.00000000000001,Cukup baik,2
290,2,sms or WA,9,13700000,43200000,271337,32.0,Buruk,0
291,27,datang ke tempat,35,94000000,101500000,196643114,93.0,Cukup baik,2
292,16,datang ke tempat,64,278000000,411500000,109808893,68.0,Cukup baik,2
293,23,datang ke tempat,46,268000000,369500000,185585054,73.0,Cukup baik,2
294,0,sms or WA,2,12700000,18100000,138436,70.0,Baik,4
295,29,datang ke tempat,30,178000000,238500000,109113735,75.0,Cukup baik,2
296,29,datang ke tempat,68,478000000,1606000000,276537025,30.0,Buruk,0
297,12,panggilan,33,67000000,647500000,18793172,10.0,Buruk,0
298,3,sms or WA,2,14100000,16000000,144925,88.0,Baik,4
299,23,datang ke tempat,57,608000000,1510500000,107617651,40.0,Cukup baik,2
300,24,datang ke tempat,44,302000000,553000000,137689273,55.00000000000001,Cukup baik,2
301,25,datang ke tempat,33,172000000,217500000,175289013,79.0,Cukup baik,2
302,12,panggilan,30,71000000,245000000,14736406,29.0,Buruk,0
303,18,datang ke tempat,55,270000000,1439000000,290490873,19.0,Buruk,0
304,26,datang ke tempat,38,498000000,833500000,109919557,60.0,Cukup baik,2
305,9,surat panggilan,26,33500000,273000000,1627648,12.0,Buruk,0
306,7,surat panggilan,24,30000000,105000000,2158287,29.0,Buruk,0
307,8,surat panggilan,31,38000000,349500000,1679739,11.0,Buruk,0
308,12,panggilan,44,86000000,456000000,68953344,19.0,Buruk,0
309,6,surat panggilan,38,33000000,85500000,3688278,39.0,Buruk,0
310,6,surat panggilan,38,177000000,193500000,3685150,91.0,Baik,4
311,15,panggilan,35,234000000,613500000,27668836,38.0,Buruk,0
312,24,datang ke tempat,38,520000000,794500000,355766051,65.0,Cukup baik,2
313,11,panggilan,31,101000000,124500000,12964449,81.0,Baik,4
314,2,sms or WA,11,30000000,66500000,318628,45.0,Baik,4
315,18,datang ke tempat,50,101500000,101500000,158289390,100.0,Cukup baik,2
316,21,datang ke tempat,69,152000000,252000000,465114219,60.0,Cukup baik,2
317,19,datang ke tempat,66,392000000,1456500000,382865515,27.0,Buruk,0
318,10,surat panggilan,24,94000000,183500000,2050889,51.0,Buruk,0
319,11,panggilan,34,197000000,497000000,10807960,40.0,Buruk,0
320,6,surat panggilan,39,237000000,263500000,2448993,90.0,Baik,4
321,3,sms or WA,11,22700000,86100000,379645,26.0,Buruk,0
322,22,datang ke tempat,34,496000000,749000000,201439418,66.0,Cukup baik,2
323,19,datang ke tempat,31,432000000,950000000,248152647,45.0,Cukup baik,2
324,23,datang ke tempat,52,106000000,324500000,198835244,33.0,Buruk,0
325,1,sms or WA,11,4900000,17400000,481146,28.000000000000004,Buruk,0
326,2,sms or WA,12,9100000,32500000,234396,28.000000000000004,Buruk,0
327,24,datang ke tempat,40,266000000,927500000,287639519,29.0,Buruk,0
328,12,panggilan,30,284000000,487000000,58222548,57.99999999999999,Buruk,0
329,12,panggilan,45,599000000,851500000,9296271,70.0,Baik,4
330,4,sms or WA,12,77500000,110400000,195425,70.0,Baik,4
331,18,datang ke tempat,51,746000000,1579500000,143506842,47.0,Cukup baik,2
332,21,datang ke tempat,54,590000000,768000000,403812842,77.0,Cukup baik,2
333,4,sms or WA,2,5400000,13900000,109167,39.0,Buruk,0
334,4,sms or WA,1,2000000,3200000,73260,62.0,Baik,4
335,8,surat panggilan,29,54000000,60500000,1477944,89.0,Baik,4
336,4,sms or WA,14,30700000,115200000,586418,27.0,Buruk,0
337,12,panggilan,38,217000000,347000000,47784162,63.0,Baik,4
338,19,datang ke tempat,60,222000000,237000000,85994072,94.0,Cukup baik,2
339,0,sms or WA,10,22500000,46700000,204808,48.0,Baik,4
340,0,sms or WA,3,4600000,22700000,114859,20.0,Buruk,0
341,21,datang ke tempat,58,276000000,2000000000,297683468,14.000000000000002,Buruk,0
342,7,surat panggilan,31,87000000,129000000,1723602,67.0,Baik,4
343,21,datang ke tempat,46,676000000,1440500000,294880019,47.0,Cukup baik,2
344,24,datang ke tempat,51,460000000,790500000,345704642,57.99999999999999,Cukup baik,2
345,15,panggilan,47,265000000,444500000,84752585,60.0,Baik,4
346,24,datang ke tempat,64,1136000000,1440500000,210318634,79.0,Cukup baik,2
347,27,datang ke tempat,41,178000000,1174000000,351147274,15.0,Buruk,0
348,22,datang ke tempat,65,366000000,689500000,269566748,53.0,Cukup baik,2
349,5,sms or WA,1,6300000,8700000,35289,72.0,Baik,4
350,22,datang ke tempat,66,1454000000,1920000000,124765901,76.0,Cukup baik,2
351,24,datang ke tempat,60,1492000000,1959000000,126078614,76.0,Cukup baik,2
352,26,datang ke tempat,45,114000000,151500000,130647715,75.0,Cukup baik,2
353,4,sms or WA,19,49400000,50000000,190302,99.0,Baik,4
354,23,datang ke tempat,43,312000000,648500000,366873461,48.0,Cukup baik,2
355,11,panggilan,43,71000000,136500000,58756206,52.0,Buruk,0
356,5,sms or WA,13,12600000,129200000,243723,10.0,Buruk,0
357,19,datang ke tempat,31,96000000,140000000,216037629,69.0,Cukup baik,2
358,21,datang ke tempat,35,79000000,79000000,236650242,100.0,Cukup baik,2
359,7,surat panggilan,34,119000000,211000000,2332678,56.00000000000001,Buruk,0
360,13,panggilan,32,426000000,544000000,21831845,78.0,Baik,4
361,15,panggilan,40,694000000,713000000,37883280,97.0,Baik,4
362,22,datang ke tempat,68,596000000,662500000,419273209,90.0,Cukup baik,2
363,23,datang ke tempat,63,172000000,405000000,390733556,42.0,Cukup baik,2
364,26,datang ke tempat,66,576000000,642000000,161378367,90.0,Cukup baik,2
365,26,datang ke tempat,69,768000000,1815000000,519288735,42.0,Cukup baik,2
366,26,datang ke tempat,59,700000000,1037500000,496348580,67.0,Cukup baik,2
367,25,datang ke tempat,35,634000000,817000000,48987398,78.0,Cukup baik,2
368,12,panggilan,34,359000000,363000000,62609289,99.0,Baik,4
369,29,datang ke tempat,58,392000000,600500000,562042839,65.0,Cukup baik,2
370,14,panggilan,48,604000000,620000000,67876083,97.0,Baik,4
371,19,datang ke tempat,41,204000000,260500000,372608584,78.0,Cukup baik,2
372,23,datang ke tempat,60,346000000,843000000,202468896,41.0,Cukup baik,2
373,10,surat panggilan,24,14000000,192000000,2203793,7.000000000000001,Buruk,0
374,3,sms or WA,17,49700000,114700000,810349,43.0,Buruk,0
375,2,sms or WA,14,75900000,121300000,226037,63.0,Baik,4
376,20,datang ke tempat,35,306000000,736000000,297963787,42.0,Cukup baik,2
377,24,datang ke tempat,59,236000000,517000000,184956899,46.0,Cukup baik,2
