,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,time_to_collect,collector_gender,collector_marital_status,collector_age
157,sms or WA,15,12800000,26200000,155927,49.0,3,perempuan,Cerai hidup,52
158,sms or WA,4,11600000,35100000,20680,33.0,0,laki-laki,Belum menikah,41
159,sms or WA,18,48900000,88300000,152790,55.00000000000001,1,perempuan,Belum menikah,55
160,sms or WA,13,10800000,121700000,117184,9.0,3,perempuan,Belum menikah,52
161,sms or WA,10,7600000,14100000,73727,54.0,4,laki-laki,Cerai mati,39
162,sms or WA,16,24700000,75900000,113981,33.0,2,laki-laki,Menikah,61
163,sms or WA,9,68400000,73300000,97948,93.0,3,laki-laki,Menikah,60
164,sms or WA,18,79500000,157100000,96770,51.0,0,laki-laki,Cerai mati,32
165,sms or WA,11,4600000,5500000,86540,84.0,2,perempuan,Cerai hidup,62
166,sms or WA,18,13800000,44100000,94796,31.0,4,perempuan,Menikah,59
167,sms or WA,10,9000000,30400000,101431,30.0,4,laki-laki,Menikah,25
168,sms or WA,9,56000000,86500000,54846,65.0,3,perempuan,Belum menikah,31
169,sms or WA,9,7100000,13300000,59543,53.0,4,laki-laki,Belum menikah,41
170,sms or WA,10,12600000,33800000,83687,37.0,3,laki-laki,Cerai hidup,40
171,sms or WA,7,21400000,31000000,54582,69.0,2,laki-laki,Cerai mati,52
172,sms or WA,11,88700000,106800000,82684,83.0,1,perempuan,Cerai mati,36
173,sms or WA,8,19700000,34100000,43280,57.99999999999999,4,laki-laki,Menikah,60
174,sms or WA,9,31300000,61000000,80046,51.0,2,laki-laki,Menikah,63
175,sms or WA,11,29400000,43800000,81997,67.0,4,laki-laki,Menikah,25
176,sms or WA,12,19200000,79100000,90460,24.0,4,perempuan,Belum menikah,30
177,sms or WA,12,10600000,95000000,73491,11.0,0,laki-laki,Menikah,62
178,sms or WA,19,11400000,55300000,151720,21.0,1,laki-laki,Belum menikah,53
179,sms or WA,15,11800000,27300000,116284,43.0,0,laki-laki,Menikah,48
180,sms or WA,19,132800000,143300000,191835,93.0,3,perempuan,Menikah,52
181,sms or WA,16,54500000,57600000,103361,95.0,1,laki-laki,Cerai hidup,45
182,sms or WA,10,34600000,46400000,74519,75.0,4,perempuan,Belum menikah,51
183,sms or WA,19,56200000,177900000,127334,32.0,2,laki-laki,Cerai mati,30
184,sms or WA,4,5500000,12300000,36015,45.0,3,perempuan,Menikah,50
185,sms or WA,19,50500000,130200000,179773,39.0,2,laki-laki,Cerai hidup,59
186,sms or WA,12,28400000,30900000,66176,92.0,0,laki-laki,Cerai hidup,38
187,sms or WA,19,101300000,166100000,112558,61.0,3,laki-laki,Belum menikah,25
188,sms or WA,4,15100000,19900000,20913,76.0,2,perempuan,Menikah,38
189,sms or WA,16,25000000,25300000,95997,99.0,1,laki-laki,Menikah,44
190,sms or WA,1,1400000,3500000,9187,40.0,0,perempuan,Menikah,32
191,sms or WA,7,10000000,33100000,64132,30.0,2,perempuan,Cerai mati,57
192,sms or WA,7,6200000,6400000,59639,97.0,1,laki-laki,Cerai mati,40
193,sms or WA,11,56600000,59600000,91550,95.0,1,perempuan,Cerai hidup,55
194,sms or WA,3,5900000,11900000,30599,50.0,1,laki-laki,Menikah,35
195,sms or WA,15,9900000,58700000,159977,17.0,1,laki-laki,Menikah,44
196,sms or WA,13,14800000,59200000,99031,25.0,0,perempuan,Belum menikah,63
197,sms or WA,6,5600000,9300000,64786,60.0,0,perempuan,Belum menikah,61
198,sms or WA,2,9500000,10000000,14617,95.0,2,perempuan,Belum menikah,63
199,sms or WA,6,4400000,24200000,57542,18.0,1,perempuan,Cerai hidup,55
200,sms or WA,12,21100000,108600000,112989,19.0,4,laki-laki,Menikah,26
201,sms or WA,17,8600000,24200000,111292,36.0,4,perempuan,Menikah,33
202,sms or WA,10,25300000,49600000,101404,51.0,2,perempuan,Cerai mati,60
203,sms or WA,9,7600000,8000000,90932,95.0,3,perempuan,Cerai hidup,53
204,sms or WA,4,9900000,22700000,32007,44.0,0,laki-laki,Cerai hidup,25
205,sms or WA,15,143000000,149700000,139294,96.0,1,laki-laki,Cerai hidup,35
206,sms or WA,2,4300000,5000000,15591,86.0,4,laki-laki,Cerai mati,56
207,sms or WA,4,7100000,13200000,21128,54.0,4,perempuan,Menikah,24
208,sms or WA,19,66000000,141400000,104405,47.0,4,laki-laki,Menikah,42
209,sms or WA,12,39300000,106500000,95289,37.0,4,laki-laki,Cerai mati,25
210,sms or WA,1,4000000,5300000,8705,75.0,4,laki-laki,Menikah,41
211,sms or WA,9,21900000,89200000,51142,25.0,2,perempuan,Cerai hidup,54
212,sms or WA,6,10800000,42700000,43867,25.0,2,perempuan,Cerai mati,32
213,sms or WA,12,67300000,72100000,70848,93.0,1,laki-laki,Belum menikah,51
214,sms or WA,9,70100000,87600000,63056,80.0,0,laki-laki,Cerai mati,23
215,sms or WA,2,1300000,1300000,11294,100.0,2,laki-laki,Belum menikah,37
216,sms or WA,3,11000000,20100000,19185,55.00000000000001,3,laki-laki,Belum menikah,59
217,sms or WA,1,3700000,9100000,6266,41.0,3,perempuan,Cerai hidup,26
218,sms or WA,8,35300000,57100000,72748,62.0,1,laki-laki,Belum menikah,38
219,sms or WA,12,14300000,25700000,117308,56.00000000000001,4,perempuan,Cerai mati,37
220,sms or WA,5,33300000,33800000,25186,99.0,0,perempuan,Menikah,25
221,sms or WA,11,12400000,23000000,101283,54.0,1,laki-laki,Cerai hidup,46
222,sms or WA,17,15800000,42500000,126469,37.0,3,perempuan,Cerai mati,42
223,sms or WA,12,17300000,70400000,84979,25.0,3,laki-laki,Cerai mati,39
224,sms or WA,13,53200000,97600000,113604,55.00000000000001,4,laki-laki,Menikah,50
225,sms or WA,17,13200000,105000000,89776,13.0,1,laki-laki,Cerai hidup,59
226,sms or WA,11,10400000,12000000,99308,87.0,1,perempuan,Menikah,37
227,sms or WA,8,22300000,56600000,74611,39.0,3,laki-laki,Cerai mati,62
228,sms or WA,2,6000000,17400000,21836,34.0,4,perempuan,Belum menikah,29
229,sms or WA,2,1900000,11700000,16737,16.0,1,perempuan,Menikah,63
230,sms or WA,17,58000000,91400000,154419,63.0,1,perempuan,Belum menikah,56
231,sms or WA,9,47300000,52800000,76452,90.0,3,laki-laki,Menikah,29
232,sms or WA,1,1600000,1700000,5624,94.0,0,perempuan,Cerai mati,28
233,sms or WA,7,59300000,68400000,76624,87.0,1,laki-laki,Cerai mati,32
234,sms or WA,3,1500000,6300000,36135,24.0,1,perempuan,Cerai mati,28
235,sms or WA,4,8800000,16300000,47864,54.0,1,laki-laki,Menikah,29
236,sms or WA,6,30800000,51300000,54671,60.0,0,laki-laki,Cerai mati,43
237,sms or WA,9,18300000,48500000,50893,38.0,2,laki-laki,Menikah,57
238,sms or WA,1,2200000,3800000,6443,57.99999999999999,1,laki-laki,Cerai hidup,49
239,sms or WA,17,97600000,143500000,175739,68.0,0,perempuan,Belum menikah,52
240,sms or WA,11,4600000,47600000,86247,10.0,1,laki-laki,Cerai hidup,42
241,sms or WA,18,108200000,177500000,166049,61.0,4,perempuan,Belum menikah,50
242,sms or WA,18,20100000,88500000,181418,23.0,1,perempuan,Menikah,35
243,sms or WA,7,12900000,15100000,50145,85.0,4,perempuan,Cerai mati,60
244,sms or WA,17,136600000,150800000,99625,91.0,4,laki-laki,Belum menikah,62
245,sms or WA,1,1500000,1700000,8538,88.0,3,laki-laki,Belum menikah,60
246,sms or WA,18,112100000,139800000,188527,80.0,2,perempuan,Menikah,58
247,sms or WA,10,72800000,75400000,56659,97.0,3,laki-laki,Belum menikah,58
248,sms or WA,14,28800000,64600000,113399,45.0,2,perempuan,Cerai mati,25
249,sms or WA,13,8600000,19600000,65965,44.0,0,perempuan,Menikah,35
250,sms or WA,18,15900000,61100000,164715,26.0,2,perempuan,Belum menikah,26
251,sms or WA,1,2200000,9000000,8363,24.0,3,perempuan,Menikah,37
252,sms or WA,9,57400000,64600000,45315,89.0,2,laki-laki,Cerai mati,52
253,sms or WA,9,14200000,15600000,85865,91.0,0,perempuan,Cerai mati,57
254,sms or WA,19,31900000,37000000,182849,86.0,3,perempuan,Cerai mati,47
255,sms or WA,5,3800000,25400000,59547,15.0,1,laki-laki,Cerai mati,29
256,sms or WA,10,60000000,66700000,100627,90.0,0,laki-laki,Cerai mati,53
257,sms or WA,14,13000000,23000000,96994,56.99999999999999,4,perempuan,Cerai hidup,55
258,sms or WA,17,18000000,151100000,99086,12.0,2,perempuan,Cerai hidup,30
259,sms or WA,7,34600000,63900000,41762,54.0,2,perempuan,Cerai hidup,41
260,sms or WA,11,8500000,14400000,87697,59.0,1,laki-laki,Menikah,63
261,sms or WA,19,75100000,183000000,175789,41.0,2,laki-laki,Cerai mati,26
262,sms or WA,10,11500000,32700000,87424,35.0,3,perempuan,Menikah,39
263,sms or WA,6,5700000,6100000,45645,93.0,4,perempuan,Cerai mati,63
264,sms or WA,11,39800000,42000000,67388,95.0,4,perempuan,Cerai mati,50
265,sms or WA,3,3800000,20400000,23649,19.0,3,laki-laki,Belum menikah,35
266,sms or WA,4,27600000,38100000,31923,72.0,2,perempuan,Cerai hidup,30
267,sms or WA,11,11400000,12500000,118039,91.0,1,laki-laki,Menikah,62
268,sms or WA,13,5500000,49600000,132654,11.0,0,perempuan,Cerai hidup,55
269,sms or WA,17,12900000,112600000,177952,11.0,4,laki-laki,Cerai mati,50
270,sms or WA,15,13000000,27700000,84618,47.0,2,laki-laki,Belum menikah,35
271,sms or WA,5,25300000,46100000,38369,55.00000000000001,2,perempuan,Menikah,36
272,sms or WA,8,8000000,13300000,68869,60.0,4,perempuan,Menikah,33
273,sms or WA,14,83900000,93100000,131731,90.0,4,laki-laki,Menikah,48
274,sms or WA,1,1200000,4900000,18470,24.0,4,laki-laki,Belum menikah,52
275,sms or WA,3,27200000,28000000,17821,97.0,4,laki-laki,Menikah,25
276,sms or WA,11,53100000,94000000,105269,56.00000000000001,2,perempuan,Menikah,25
277,sms or WA,17,33100000,37200000,86959,89.0,1,laki-laki,Belum menikah,54
278,sms or WA,1,2300000,6700000,7664,34.0,0,perempuan,Menikah,60
279,sms or WA,9,26600000,65800000,79720,40.0,3,perempuan,Cerai hidup,52
280,sms or WA,18,109900000,155300000,97013,71.0,4,perempuan,Menikah,60
281,sms or WA,12,33800000,116300000,66905,28.999999999999996,1,perempuan,Menikah,35
282,sms or WA,4,19300000,22300000,40304,87.0,3,laki-laki,Belum menikah,57
283,sms or WA,8,21100000,32500000,88749,65.0,0,perempuan,Belum menikah,41
284,sms or WA,17,9200000,12200000,112039,75.0,2,laki-laki,Cerai mati,62
285,sms or WA,4,17800000,38700000,35236,46.0,4,perempuan,Menikah,44
286,sms or WA,3,1900000,9700000,16282,20.0,4,perempuan,Belum menikah,39
287,sms or WA,11,10700000,12500000,104337,86.0,3,laki-laki,Cerai hidup,58
288,sms or WA,17,85600000,89500000,85981,96.0,2,perempuan,Cerai mati,23
289,sms or WA,19,33600000,128700000,122523,26.0,2,laki-laki,Cerai mati,34
290,sms or WA,9,7000000,8100000,88553,86.0,2,laki-laki,Cerai mati,30
291,sms or WA,8,3800000,7500000,66250,51.0,1,laki-laki,Belum menikah,29
292,sms or WA,4,22800000,28200000,20103,81.0,1,laki-laki,Cerai mati,36
293,sms or WA,12,9600000,10700000,94654,90.0,3,laki-laki,Menikah,31
294,sms or WA,7,8200000,59800000,50976,14.000000000000002,4,laki-laki,Menikah,25
295,sms or WA,19,15100000,132800000,181701,11.0,0,perempuan,Cerai mati,27
296,sms or WA,5,7400000,13400000,56249,55.00000000000001,3,perempuan,Belum menikah,41
297,sms or WA,19,13900000,17100000,171022,81.0,3,perempuan,Cerai mati,61
298,sms or WA,6,32800000,50300000,50623,65.0,4,perempuan,Cerai mati,35
299,sms or WA,18,148800000,156100000,177580,95.0,3,perempuan,Cerai hidup,52
300,surat panggilan,26,19500000,28000000,305940,70.0,7,laki-laki,Cerai hidup,57
301,surat panggilan,20,11500000,53500000,212787,21.0,7,perempuan,Belum menikah,42
302,surat panggilan,20,36000000,193000000,223241,19.0,7,perempuan,Belum menikah,26
303,surat panggilan,37,92000000,101500000,715612,91.0,8,perempuan,Cerai mati,61
304,surat panggilan,22,43500000,173000000,372781,25.0,8,perempuan,Cerai hidup,62
305,surat panggilan,31,118000000,443500000,476239,27.0,8,laki-laki,Menikah,57
306,surat panggilan,20,21500000,63000000,291409,34.0,7,perempuan,Menikah,49
307,surat panggilan,26,233500000,344000000,400796,68.0,7,perempuan,Menikah,42
308,surat panggilan,36,112500000,278500000,424520,40.0,8,laki-laki,Belum menikah,60
309,surat panggilan,39,130500000,502500000,589316,26.0,7,perempuan,Belum menikah,52
310,surat panggilan,39,66000000,146500000,506989,45.0,6,laki-laki,Menikah,39
311,surat panggilan,26,114500000,238500000,479849,48.0,6,laki-laki,Cerai mati,30
312,surat panggilan,29,212500000,361000000,454687,59.0,7,perempuan,Cerai mati,49
313,surat panggilan,27,37000000,73500000,505332,50.0,8,laki-laki,Menikah,39
314,surat panggilan,32,80500000,125000000,620829,64.0,6,perempuan,Belum menikah,41
315,surat panggilan,31,32500000,407500000,454016,8.0,9,perempuan,Cerai mati,45
316,surat panggilan,23,66000000,333000000,463397,20.0,8,perempuan,Menikah,27
317,surat panggilan,39,140500000,203500000,789437,69.0,9,laki-laki,Cerai hidup,33
318,surat panggilan,38,24500000,230000000,630008,11.0,7,laki-laki,Menikah,55
319,surat panggilan,34,213000000,349500000,392007,61.0,8,laki-laki,Cerai hidup,44
320,surat panggilan,26,94500000,297000000,424380,32.0,9,laki-laki,Belum menikah,40
321,surat panggilan,39,143000000,236500000,680318,60.0,9,laki-laki,Menikah,47
322,surat panggilan,28,61500000,81000000,522060,76.0,9,perempuan,Cerai hidup,46
323,surat panggilan,27,147000000,332500000,374481,44.0,6,perempuan,Belum menikah,53
324,surat panggilan,31,119000000,334500000,382790,36.0,9,perempuan,Belum menikah,30
325,surat panggilan,30,58500000,448000000,352756,13.0,8,laki-laki,Cerai mati,26
326,surat panggilan,23,162500000,309500000,343271,53.0,6,perempuan,Cerai hidup,27
327,surat panggilan,23,12000000,135500000,247240,9.0,6,perempuan,Cerai mati,55
328,surat panggilan,33,231500000,275500000,537095,84.0,8,perempuan,Menikah,42
329,surat panggilan,38,217500000,241500000,479417,90.0,6,perempuan,Menikah,36
330,surat panggilan,35,95500000,522000000,363815,18.0,9,laki-laki,Cerai hidup,39
331,surat panggilan,29,34000000,35000000,533067,97.0,6,perempuan,Cerai hidup,43
332,surat panggilan,37,27000000,175500000,485590,15.0,6,perempuan,Belum menikah,55
